bucket,label,run_dir,reported_test_novel_classes,sampled_baseline_accuracy,stat_preserving_branch_alignment_scramble_delta_mean,stat_preserving_branch_alignment_scramble_delta_min,stat_preserving_branch_alignment_scramble_delta_max,stat_preserving_projection_scramble_delta_mean,stat_preserving_projection_scramble_delta_min,stat_preserving_projection_scramble_delta_max
low,g0267_hub_spoke_seed76_trainseed4,/home/aadarwal/repos/topology/ICL/results/expanded_hard_sweeps/n5_m12_N3_D2/g0267_hub_spoke_seed76_trainseed4,65.8,68.33333373069763,-50.833334028720856,-50.833334028720856,-50.833334028720856,-39.58333283662796,-40.833333134651184,-38.333332538604736
low,g0289_two_module_seed2_trainseed5,/home/aadarwal/repos/topology/ICL/results/expanded_hard_sweeps/n5_m12_N3_D2/g0289_two_module_seed2_trainseed5,67.4,73.33333492279053,-68.33333484828472,-68.33333484828472,-68.33333484828472,-30.000001192092896,-36.666667461395264,-23.333334922790527
mid,g0040_cycle_chords_seed41_trainseed3,/home/aadarwal/repos/topology/ICL/results/expanded_hard_sweeps/n5_m12_N3_D2/g0040_cycle_chords_seed41_trainseed3,85.4,88.33333253860474,-76.66666582226753,-76.66666582226753,-76.66666582226753,-55.416665971279144,-58.33333134651184,-52.50000059604645
mid,g0187_random_sc_seed92_trainseed1,/home/aadarwal/repos/topology/ICL/results/expanded_hard_sweeps/n5_m12_N3_D2/g0187_random_sc_seed92_trainseed1,85.4,89.99999761581421,-76.66666358709335,-76.66666358709335,-76.66666358709335,-53.333331644535065,-57.499998807907104,-49.166664481163025
high,g0187_random_sc_seed92_trainseed2,/home/aadarwal/repos/topology/ICL/results/expanded_hard_sweeps/n5_m12_N3_D2/g0187_random_sc_seed92_trainseed2,98.0,98.33333492279053,-95.83333488553762,-95.83333488553762,-95.83333488553762,-67.91666895151138,-72.50000238418579,-63.333335518836975
high,g0354_degree_balanced_seed9_trainseed4,/home/aadarwal/repos/topology/ICL/results/expanded_hard_sweeps/n5_m12_N3_D2/g0354_degree_balanced_seed9_trainseed4,98.6,98.33333492279053,-96.66666816920042,-96.66666816920042,-96.66666816920042,-64.16666805744171,-68.33333373069763,-60.00000238418579
