contrast,status,regime,fixed_fields,varied_metric,low_id,high_id,low_family,high_family,low_metric,high_metric,delta_metric,low_icl_mean,high_icl_mean,delta_icl_mean,low_icl_max,high_icl_max,delta_icl_max,low_extra,high_extra,notes
same_drel_different_bottleneck_participation,observed_with_trained_outcomes,n5_m12_N3_D2,"n_nodes=5, n_edges=12, d_rel=88",edge_participation_gini,g0040_cycle_chords_seed41,g0082_cycle_chords_seed83,cycle_chords,cycle_chords,0.08012820512820507,0.3166666666666669,0.2365384615384618,83.24000000000001,83.0,-0.2400000000000091,91.2,90.4,-0.7999999999999972,trees=78; root_gini=0.5076923076923077; group=cycle_chords_n5_m12_seed41,trees=40; root_gini=0.27; group=cycle_chords_n5_m12_seed83,"Largest available same-d_rel edge-participation contrast in the checked-in hard library; trained means are nearly identical, so this contrast does not support edge participation alone as a strong driver."
same_tree_count_different_root_balance,observed_with_trained_outcomes,n4_m6_N3_D2,"n_nodes=4, n_edges=6, n_trees_total_enum=8",root_tree_count_gini,g0004_cycle_chords_seed5,g0010_cycle_chords_seed12,cycle_chords,cycle_chords,0.0,0.3125,0.3125,67.6,71.35999999999999,3.759999999999991,78.6,80.0,1.4000000000000057,d_rel=40; edge_gini=0.2222222222222221; group=cycle_chords_n4_m6_seed5,d_rel=40; edge_gini=0.19444444444444442; group=cycle_chords_n4_m6_seed12,"Largest available same-total-tree-count root-balance contrast. Higher root imbalance has higher mean here, so root balance is not a monotone penalty in this tiny contrast."
same_physical_graph_permuted_input_masks,observed_with_trained_outcomes,fixed_m20_input_masks,"physical_topology=cycle_chords_n6_m20_seed3, n_nodes=6.0, n_edges=20.0, input_coupled_count=200.0, d_rel=200.0",input_edge_load_gini,cycle_chords_n6_m20_seed3__mask0242_balanced_c200_seed3,cycle_chords_n6_m20_seed3__mask0080_edge_block_c200_seed1,balanced,edge_block,0.0,0.5,0.5,80.43999999999998,74.12,-6.319999999999979,88.6,80.4,-8.199999999999989,edge_load_gini=0.0; coord_load_gini=0.0; mask_family=balanced,edge_load_gini=0.5; coord_load_gini=0.0; mask_family=edge_block,Fixed physical graph/count/d_rel; contrasts edge-load heterogeneity among available masks.
same_mask_count_different_coordinate_load,observed_with_trained_outcomes,fixed_m20_input_masks,"physical_topology=cycle_chords_n6_m20_seed3, n_nodes=6.0, n_edges=20.0, input_coupled_count=200.0, d_rel=200.0",input_coord_load_gini,cycle_chords_n6_m20_seed3__mask0080_edge_block_c200_seed1,cycle_chords_n6_m20_seed3__mask0020_entry_random_c200_seed21,edge_block,entry_random,0.0,0.16149999999999998,0.16149999999999998,74.12,76.24000000000001,2.1200000000000045,80.4,86.6,6.199999999999989,edge_load_gini=0.5; coord_load_gini=0.0; mask_family=edge_block,edge_load_gini=0.121; coord_load_gini=0.16149999999999998; mask_family=entry_random,Fixed physical graph/count/d_rel; contrasts coordinate-load heterogeneity among available masks.
same_physical_graph_permuted_input_masks,observed_with_trained_outcomes,fixed_m20_input_masks,"physical_topology=hub_spoke_n6_m20_seed63, n_nodes=6.0, n_edges=20.0, input_coupled_count=200.0, d_rel=200.0",input_edge_load_gini,hub_spoke_n6_m20_seed63__mask0310_balanced_c200_seed71,hub_spoke_n6_m20_seed63__mask0080_edge_block_c200_seed1,balanced,edge_block,0.0,0.5,0.5,66.72,70.16,3.4399999999999977,82.6,81.8,-0.7999999999999972,edge_load_gini=0.0; coord_load_gini=0.0; mask_family=balanced,edge_load_gini=0.5; coord_load_gini=0.0; mask_family=edge_block,Fixed physical graph/count/d_rel; contrasts edge-load heterogeneity among available masks.
same_mask_count_different_coordinate_load,observed_with_trained_outcomes,fixed_m20_input_masks,"physical_topology=hub_spoke_n6_m20_seed63, n_nodes=6.0, n_edges=20.0, input_coupled_count=200.0, d_rel=200.0",input_coord_load_gini,hub_spoke_n6_m20_seed63__mask0080_edge_block_c200_seed1,hub_spoke_n6_m20_seed63__mask0020_entry_random_c200_seed21,edge_block,entry_random,0.0,0.16149999999999998,0.16149999999999998,70.16,68.64,-1.519999999999996,81.8,79.8,-2.0,edge_load_gini=0.5; coord_load_gini=0.0; mask_family=edge_block,edge_load_gini=0.121; coord_load_gini=0.16149999999999998; mask_family=entry_random,Fixed physical graph/count/d_rel; contrasts coordinate-load heterogeneity among available masks.
same_physical_graph_permuted_input_masks,observed_with_trained_outcomes,fixed_m20_input_masks,"physical_topology=random_sc_n6_m20_seed3, n_nodes=6.0, n_edges=20.0, input_coupled_count=200.0, d_rel=200.0",input_edge_load_gini,random_sc_n6_m20_seed3__mask0291_balanced_c200_seed52,random_sc_n6_m20_seed3__mask0080_edge_block_c200_seed1,balanced,edge_block,0.0,0.5,0.5,79.91999999999999,86.88000000000001,6.960000000000022,94.6,93.4,-1.1999999999999886,edge_load_gini=0.0; coord_load_gini=0.0; mask_family=balanced,edge_load_gini=0.5; coord_load_gini=0.0; mask_family=edge_block,Fixed physical graph/count/d_rel; contrasts edge-load heterogeneity among available masks.
same_mask_count_different_coordinate_load,observed_with_trained_outcomes,fixed_m20_input_masks,"physical_topology=random_sc_n6_m20_seed3, n_nodes=6.0, n_edges=20.0, input_coupled_count=200.0, d_rel=200.0",input_coord_load_gini,random_sc_n6_m20_seed3__mask0080_edge_block_c200_seed1,random_sc_n6_m20_seed3__mask0000_entry_random_c200_seed1,edge_block,entry_random,0.0,0.135,0.135,86.88000000000001,70.4,-16.480000000000004,93.4,85.2,-8.200000000000003,edge_load_gini=0.5; coord_load_gini=0.0; mask_family=edge_block,edge_load_gini=0.09050000000000002; coord_load_gini=0.135; mask_family=entry_random,Fixed physical graph/count/d_rel; contrasts coordinate-load heterogeneity among available masks.
same_degree_sequence_different_normal_fan,missing_in_checked_in_data,n5_m12_N3_D2,"n_nodes,n_edges,d_rel,exact in/out degree sequence",capacity_normal_fan_branch_tree_nmi_mean,,,,,,,,,,,,,,,,Exact degree-sequence search found 0 groups with at least two topologies in hard_n5_m12_with_gamma_star_opt_capacity.csv; a degree-rewired library is still needed for this requested contrast.
