run_dir,label,topology_name,n_samples,n_repeats,intervention,repeat,seed,baseline_target_accuracy,target_accuracy,target_accuracy_delta,baseline_target_logprob_margin_mean,target_logprob_margin_mean,target_logprob_margin_mean_delta,baseline_branch_active_tree_mi,branch_active_tree_mi,branch_active_tree_mi_delta,baseline_branch_active_root_mi,branch_active_root_mi,branch_active_root_mi_delta,tree_entropy_mean,tree_entropy_mean_delta,root_entropy_mean,root_entropy_mean_delta,active_tree_matched_comparison_gap_mean,active_tree_matched_comparison_gap_mean_delta,posterior_matched_comparison_gap_mean,posterior_matched_comparison_gap_mean_delta
/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_hub_spoke_seed63_c200/hub_spoke_n6_m20_seed63__mask0000_entry_random_c200_seed1_trainseed1,hub_spoke_n6_m20_seed63__mask0000_entry_random_c200_seed1_trainseed1,hub_spoke_n6_m20_seed63__mask0000_entry_random_c200_seed1,200,3,context_block_shuffle,0,0,93.50000023841858,27.000001072883606,-66.49999916553497,3.1018993854522705,-2.8335494995117188,-5.935448884963989,1.173035209635465,1.0789363020507212,-0.09409890758474382,1.0204022130968124,0.8804936120528503,-0.1399086010439622,12.017888069152832,0.6307716369628906,1.096279501914978,-0.00010979175567626953,-0.404727471541818,0.015612461447332915,-0.30142759381110384,0.01562976428173113
/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_hub_spoke_seed63_c200/hub_spoke_n6_m20_seed63__mask0000_entry_random_c200_seed1_trainseed1,hub_spoke_n6_m20_seed63__mask0000_entry_random_c200_seed1_trainseed1,hub_spoke_n6_m20_seed63__mask0000_entry_random_c200_seed1,200,3,context_block_shuffle,1,1,93.50000023841858,5.000000074505806,-88.50000016391277,3.1018993854522705,-5.233100414276123,-8.334999799728394,1.173035209635465,1.2265941315949718,0.05355892195950673,1.0204022130968124,1.020186809203938,-0.00021540389287455497,11.632193565368652,0.24507713317871094,1.1125609874725342,0.016171693801879883,-0.4183796631869869,0.0019602698021640164,-0.3025944372597775,0.014462920833057447
/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_hub_spoke_seed63_c200/hub_spoke_n6_m20_seed63__mask0000_entry_random_c200_seed1_trainseed1,hub_spoke_n6_m20_seed63__mask0000_entry_random_c200_seed1_trainseed1,hub_spoke_n6_m20_seed63__mask0000_entry_random_c200_seed1,200,3,context_block_shuffle,2,2,93.50000023841858,1.4999999664723873,-92.00000027194619,3.1018993854522705,-5.372028827667236,-8.473928213119507,1.173035209635465,1.173626630196527,0.0005914205610619838,1.0204022130968124,1.0225301551458175,0.002127942049005016,11.4677095413208,0.08059310913085938,1.113336443901062,0.016947150230407715,-0.41470116392628703,0.005638769062863869,-0.3007546808083511,0.01630267728448387
/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_hub_spoke_seed63_c200/hub_spoke_n6_m20_seed63__mask0000_entry_random_c200_seed1_trainseed1,hub_spoke_n6_m20_seed63__mask0000_entry_random_c200_seed1_trainseed1,hub_spoke_n6_m20_seed63__mask0000_entry_random_c200_seed1,200,3,edge_projection_permutation,0,1009,93.50000023841858,27.000001072883606,-66.49999916553497,3.1018993854522705,-2.9893057346343994,-6.09120512008667,1.173035209635465,0.7553721385191204,-0.4176630711163446,1.0204022130968124,0.10205469258752159,-0.9183475205092908,12.418418884277344,1.0313024520874023,0.9090791344642639,-0.18731015920639038,-0.35259633849991107,0.06774359448923983,-0.31831527634499723,-0.00125791825216226
/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_hub_spoke_seed63_c200/hub_spoke_n6_m20_seed63__mask0000_entry_random_c200_seed1_trainseed1,hub_spoke_n6_m20_seed63__mask0000_entry_random_c200_seed1_trainseed1,hub_spoke_n6_m20_seed63__mask0000_entry_random_c200_seed1,200,3,edge_projection_permutation,1,1010,93.50000023841858,34.99999940395355,-58.50000083446503,3.1018993854522705,-2.0057671070098877,-5.107666492462158,1.173035209635465,0.9219183387621006,-0.25111687087336443,1.0204022130968124,0.044299917042635445,-0.976102296054177,12.28135871887207,0.8942422866821289,0.9706903100013733,-0.125698983669281,-0.4104408940856847,0.009899038903466217,-0.3353462633772136,-0.018288905284378654
/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_hub_spoke_seed63_c200/hub_spoke_n6_m20_seed63__mask0000_entry_random_c200_seed1_trainseed1,hub_spoke_n6_m20_seed63__mask0000_entry_random_c200_seed1_trainseed1,hub_spoke_n6_m20_seed63__mask0000_entry_random_c200_seed1,200,3,edge_projection_permutation,2,1011,93.50000023841858,22.499999403953552,-71.00000083446503,3.1018993854522705,-4.040311336517334,-7.1422107219696045,1.173035209635465,0.9770741991046052,-0.1959610105308598,1.0204022130968124,0.1780162182653545,-0.8423859948314579,12.089609146118164,0.7024927139282227,0.920759916305542,-0.1756293773651123,-0.40371357005155645,0.016626362937594452,-0.32878079482130623,-0.01172343672847126
/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_hub_spoke_seed63_c200/hub_spoke_n6_m20_seed63__mask0000_entry_random_c200_seed1_trainseed1,hub_spoke_n6_m20_seed63__mask0000_entry_random_c200_seed1_trainseed1,hub_spoke_n6_m20_seed63__mask0000_entry_random_c200_seed1,200,3,edge_rate_function_permutation,0,2018,93.50000023841858,29.499998688697815,-64.00000154972076,3.1018993854522705,-3.0444893836975098,-6.14638876914978,1.173035209635465,0.7642082890652707,-0.4088269205701943,1.0204022130968124,0.07985505336530169,-0.9405471597315107,8.58967113494873,-2.797445297241211,0.48174476623535156,-0.6146445274353027,-0.47937568379674117,-0.05903575080759027,-0.38912620390861774,-0.07206884581578277
/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_hub_spoke_seed63_c200/hub_spoke_n6_m20_seed63__mask0000_entry_random_c200_seed1_trainseed1,hub_spoke_n6_m20_seed63__mask0000_entry_random_c200_seed1_trainseed1,hub_spoke_n6_m20_seed63__mask0000_entry_random_c200_seed1,200,3,edge_rate_function_permutation,1,2019,93.50000023841858,17.000000178813934,-76.50000005960464,3.1018993854522705,-4.861408233642578,-7.963307619094849,1.173035209635465,0.8042987728538291,-0.3687364367816359,1.0204022130968124,0.08152348733476476,-0.9388787257620477,8.765774726867676,-2.6213417053222656,0.9323893785476685,-0.16399991512298584,-0.48252165837129757,-0.06218172538214667,-0.40083556705158524,-0.08377820895875027
/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_hub_spoke_seed63_c200/hub_spoke_n6_m20_seed63__mask0000_entry_random_c200_seed1_trainseed1,hub_spoke_n6_m20_seed63__mask0000_entry_random_c200_seed1_trainseed1,hub_spoke_n6_m20_seed63__mask0000_entry_random_c200_seed1,200,3,edge_rate_function_permutation,2,2020,93.50000023841858,27.500000596046448,-65.99999964237213,3.1018993854522705,-3.8446905612945557,-6.946589946746826,1.173035209635465,0.6855865704896336,-0.4874486391458315,1.0204022130968124,0.011267584072874445,-1.009134629023938,9.617997169494629,-1.7691192626953125,0.5226812362670898,-0.5737080574035645,-0.42240386721562956,-0.0020639342264786587,-0.36415263996550223,-0.04709528187266726
/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_hub_spoke_seed63_c200/hub_spoke_n6_m20_seed63__mask0000_entry_random_c200_seed1_trainseed1,hub_spoke_n6_m20_seed63__mask0000_entry_random_c200_seed1_trainseed1,hub_spoke_n6_m20_seed63__mask0000_entry_random_c200_seed1,200,3,decoder_root_permutation,0,3027,93.50000023841858,41.999998688697815,-51.500001549720764,3.1018993854522705,-1.767939805984497,-4.869839191436768,1.173035209635465,1.173035209635465,0.0,1.0204022130968124,1.0204022130968124,0.0,11.387116432189941,0.0,1.0963892936706543,0.0,-0.4203399329891509,0.0,-0.317057358092835,0.0
