run_dir,label,topology_name,physical_topology_name,input_mask_name,input_mask_family,input_mask_seed,seed,topology_seed,n_nodes,n_edges,p,raw_physical_parameter_count,input_coupled_parameter_count,input_coupled_edge_count,input_coupled_coord_count,input_parameter_density,input_edge_density,input_coord_density,input_edge_load_gini,input_coord_load_gini,n_req,d_rel,d_rel_minus_n_req,comparison_branch_d_rel_min,comparison_branch_d_rel_mean,comparison_branch_d_rel_max,comparison_branch_d_rel_gini,comparison_branch_common_d_rel_min,comparison_branch_common_d_rel_mean,comparison_branch_common_d_rel_max,comparison_branch_common_d_rel_gini,comparison_branch_common_d_rel_source,comparison_branch_input_count_min,comparison_branch_input_count_mean,comparison_branch_input_count_max,comparison_branch_input_count_gini,comparison_branch_input_overlap_min,comparison_branch_input_overlap_mean,comparison_branch_input_overlap_max,comparison_branch_input_overlap_gini,comparison_branch_input_overlap_source,rank_D,effective_rank_D,condition_number_D,effective_rank_D_masked,condition_number_D_masked,root_tree_count_cv,root_tree_count_gini,edge_participation_var,edge_participation_gini,bottleneck_edge_fraction_095,mean_shortest_path,train_acc_final,val_acc_final,icl_acc_final_eval,icl_acc_max_eval,icl_acc_mean_eval,iwl_acc_final_eval,test_in_dist,test_novel_classes,execution_time
ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0066_c200_seed60684_trainseed2,cycle_chords_n6_m20_seed3__prospective_balanced_load_0066_c200_seed60684_trainseed2,cycle_chords_n6_m20_seed3__mask_cycle_chords_n6_m20_seed3__prospective_balanced_load_0066_c200_seed60684,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__prospective_balanced_load_0066_c200_seed60684,prospective_tree_diff_balanced_load,60684,2,0,6,20,20,400,200,20,20,0.5,1.0,1.0,0.0,0.0,160,200,40,40,40.0,40,0.0,16,20.0,24,0.07499999999999996,artifact,40,40.0,40,0.0,16,20.0,24,0.07499999999999996,artifact,19,15.898610432389086,3.550238802485174,181.05688906581253,3.967145899868776,0.19012057577583058,0.10694444444444429,0.001853732638888889,0.09454166666666675,0.0,1.3333333333333333,87.26,86.4,82.5,86.0,73.45,2.0,87.6,82.4,12.703658103942871
ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0066_c200_seed60684_trainseed3,cycle_chords_n6_m20_seed3__prospective_balanced_load_0066_c200_seed60684_trainseed3,cycle_chords_n6_m20_seed3__mask_cycle_chords_n6_m20_seed3__prospective_balanced_load_0066_c200_seed60684,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__prospective_balanced_load_0066_c200_seed60684,prospective_tree_diff_balanced_load,60684,3,0,6,20,20,400,200,20,20,0.5,1.0,1.0,0.0,0.0,160,200,40,40,40.0,40,0.0,16,20.0,24,0.07499999999999996,artifact,40,40.0,40,0.0,16,20.0,24,0.07499999999999996,artifact,19,15.898610432389086,3.550238802485174,181.05688906581253,3.967145899868776,0.19012057577583058,0.10694444444444429,0.001853732638888889,0.09454166666666675,0.0,1.3333333333333333,90.46,88.7,89.5,93.5,77.2,4.0,88.2,88.8,12.995959758758545
ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0066_c200_seed60684_trainseed4,cycle_chords_n6_m20_seed3__prospective_balanced_load_0066_c200_seed60684_trainseed4,cycle_chords_n6_m20_seed3__mask_cycle_chords_n6_m20_seed3__prospective_balanced_load_0066_c200_seed60684,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__prospective_balanced_load_0066_c200_seed60684,prospective_tree_diff_balanced_load,60684,4,0,6,20,20,400,200,20,20,0.5,1.0,1.0,0.0,0.0,160,200,40,40,40.0,40,0.0,16,20.0,24,0.07499999999999996,artifact,40,40.0,40,0.0,16,20.0,24,0.07499999999999996,artifact,19,15.898610432389086,3.550238802485174,181.05688906581253,3.967145899868776,0.19012057577583058,0.10694444444444429,0.001853732638888889,0.09454166666666675,0.0,1.3333333333333333,93.48,90.4,89.0,90.5,78.35,5.5,91.8,92.2,13.020183086395264
ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0066_c200_seed60684_trainseed5,cycle_chords_n6_m20_seed3__prospective_balanced_load_0066_c200_seed60684_trainseed5,cycle_chords_n6_m20_seed3__mask_cycle_chords_n6_m20_seed3__prospective_balanced_load_0066_c200_seed60684,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__prospective_balanced_load_0066_c200_seed60684,prospective_tree_diff_balanced_load,60684,5,0,6,20,20,400,200,20,20,0.5,1.0,1.0,0.0,0.0,160,200,40,40,40.0,40,0.0,16,20.0,24,0.07499999999999996,artifact,40,40.0,40,0.0,16,20.0,24,0.07499999999999996,artifact,19,15.898610432389086,3.550238802485174,181.05688906581253,3.967145899868776,0.19012057577583058,0.10694444444444429,0.001853732638888889,0.09454166666666675,0.0,1.3333333333333333,75.36,74.7,70.5,73.5,64.35,3.0,77.0,70.6,12.64823579788208
ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0104_c200_seed60722_trainseed1,cycle_chords_n6_m20_seed3__prospective_balanced_load_0104_c200_seed60722_trainseed1,cycle_chords_n6_m20_seed3__mask_cycle_chords_n6_m20_seed3__prospective_balanced_load_0104_c200_seed60722,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__prospective_balanced_load_0104_c200_seed60722,prospective_tree_diff_balanced_load,60722,1,0,6,20,20,400,200,20,20,0.5,1.0,1.0,0.0,0.0,160,200,40,40,40.0,40,0.0,17,18.5,20,0.04054054054054057,artifact,40,40.0,40,0.0,17,18.5,20,0.04054054054054057,artifact,19,15.898610432389086,3.550238802485174,181.43455909020386,3.730954637188485,0.19012057577583058,0.10694444444444429,0.001853732638888889,0.09454166666666675,0.0,1.3333333333333333,70.1,67.5,58.5,69.5,58.3,2.5,68.0,65.6,12.587316036224365
ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0104_c200_seed60722_trainseed2,cycle_chords_n6_m20_seed3__prospective_balanced_load_0104_c200_seed60722_trainseed2,cycle_chords_n6_m20_seed3__mask_cycle_chords_n6_m20_seed3__prospective_balanced_load_0104_c200_seed60722,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__prospective_balanced_load_0104_c200_seed60722,prospective_tree_diff_balanced_load,60722,2,0,6,20,20,400,200,20,20,0.5,1.0,1.0,0.0,0.0,160,200,40,40,40.0,40,0.0,17,18.5,20,0.04054054054054057,artifact,40,40.0,40,0.0,17,18.5,20,0.04054054054054057,artifact,19,15.898610432389086,3.550238802485174,181.43455909020386,3.730954637188485,0.19012057577583058,0.10694444444444429,0.001853732638888889,0.09454166666666675,0.0,1.3333333333333333,69.28,67.0,67.0,67.0,59.7,2.5,66.8,66.6,12.415858030319214
ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0104_c200_seed60722_trainseed3,cycle_chords_n6_m20_seed3__prospective_balanced_load_0104_c200_seed60722_trainseed3,cycle_chords_n6_m20_seed3__mask_cycle_chords_n6_m20_seed3__prospective_balanced_load_0104_c200_seed60722,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__prospective_balanced_load_0104_c200_seed60722,prospective_tree_diff_balanced_load,60722,3,0,6,20,20,400,200,20,20,0.5,1.0,1.0,0.0,0.0,160,200,40,40,40.0,40,0.0,17,18.5,20,0.04054054054054057,artifact,40,40.0,40,0.0,17,18.5,20,0.04054054054054057,artifact,19,15.898610432389086,3.550238802485174,181.43455909020386,3.730954637188485,0.19012057577583058,0.10694444444444429,0.001853732638888889,0.09454166666666675,0.0,1.3333333333333333,89.26,87.7,87.5,88.0,73.4,4.0,87.0,89.4,12.368545770645142
ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0104_c200_seed60722_trainseed4,cycle_chords_n6_m20_seed3__prospective_balanced_load_0104_c200_seed60722_trainseed4,cycle_chords_n6_m20_seed3__mask_cycle_chords_n6_m20_seed3__prospective_balanced_load_0104_c200_seed60722,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__prospective_balanced_load_0104_c200_seed60722,prospective_tree_diff_balanced_load,60722,4,0,6,20,20,400,200,20,20,0.5,1.0,1.0,0.0,0.0,160,200,40,40,40.0,40,0.0,17,18.5,20,0.04054054054054057,artifact,40,40.0,40,0.0,17,18.5,20,0.04054054054054057,artifact,19,15.898610432389086,3.550238802485174,181.43455909020386,3.730954637188485,0.19012057577583058,0.10694444444444429,0.001853732638888889,0.09454166666666675,0.0,1.3333333333333333,80.5,78.0,81.5,81.5,68.25,5.5,78.8,77.0,12.791638135910034
ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0104_c200_seed60722_trainseed5,cycle_chords_n6_m20_seed3__prospective_balanced_load_0104_c200_seed60722_trainseed5,cycle_chords_n6_m20_seed3__mask_cycle_chords_n6_m20_seed3__prospective_balanced_load_0104_c200_seed60722,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__prospective_balanced_load_0104_c200_seed60722,prospective_tree_diff_balanced_load,60722,5,0,6,20,20,400,200,20,20,0.5,1.0,1.0,0.0,0.0,160,200,40,40,40.0,40,0.0,17,18.5,20,0.04054054054054057,artifact,40,40.0,40,0.0,17,18.5,20,0.04054054054054057,artifact,19,15.898610432389086,3.550238802485174,181.43455909020386,3.730954637188485,0.19012057577583058,0.10694444444444429,0.001853732638888889,0.09454166666666675,0.0,1.3333333333333333,71.82,69.2,69.0,70.5,63.8,2.5,70.6,68.2,12.588051080703735
ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0114_c200_seed60732_trainseed1,cycle_chords_n6_m20_seed3__prospective_balanced_load_0114_c200_seed60732_trainseed1,cycle_chords_n6_m20_seed3__mask_cycle_chords_n6_m20_seed3__prospective_balanced_load_0114_c200_seed60732,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__prospective_balanced_load_0114_c200_seed60732,prospective_tree_diff_balanced_load,60732,1,0,6,20,20,400,200,20,20,0.5,1.0,1.0,0.0,0.0,160,200,40,40,40.0,40,0.0,18,19.5,23,0.05128205128205132,artifact,40,40.0,40,0.0,18,19.5,23,0.05128205128205132,artifact,19,15.898610432389086,3.550238802485174,181.5561711456465,3.8746092544263457,0.19012057577583058,0.10694444444444429,0.001853732638888889,0.09454166666666675,0.0,1.3333333333333333,80.92,78.2,78.5,83.5,68.15,4.0,76.8,75.6,12.740767002105713
