run_dir,label,topology_name,physical_topology_name,input_mask_name,input_mask_family,input_mask_seed,seed,topology_seed,n_nodes,n_edges,p,raw_physical_parameter_count,input_coupled_parameter_count,input_coupled_edge_count,input_coupled_coord_count,input_parameter_density,input_edge_density,input_coord_density,input_edge_load_gini,input_coord_load_gini,n_req,d_rel,d_rel_minus_n_req,comparison_branch_d_rel_min,comparison_branch_d_rel_mean,comparison_branch_d_rel_max,comparison_branch_d_rel_gini,comparison_branch_common_d_rel_min,comparison_branch_common_d_rel_mean,comparison_branch_common_d_rel_max,comparison_branch_common_d_rel_gini,comparison_branch_common_d_rel_source,comparison_branch_input_count_min,comparison_branch_input_count_mean,comparison_branch_input_count_max,comparison_branch_input_count_gini,comparison_branch_input_overlap_min,comparison_branch_input_overlap_mean,comparison_branch_input_overlap_max,comparison_branch_input_overlap_gini,comparison_branch_input_overlap_source,rank_D,effective_rank_D,condition_number_D,effective_rank_D_masked,condition_number_D_masked,root_tree_count_cv,root_tree_count_gini,edge_participation_var,edge_participation_gini,bottleneck_edge_fraction_095,mean_shortest_path,train_acc_final,val_acc_final,icl_acc_final_eval,icl_acc_max_eval,icl_acc_mean_eval,iwl_acc_final_eval,test_in_dist,test_novel_classes,execution_time,capacity_n_nodes,capacity_n_edges,capacity_n_context,capacity_z_dim,capacity_p,capacity_d_rel,capacity_comparison_branch_common_d_rel_min,capacity_comparison_branch_common_d_rel_mean,capacity_support_fraction,capacity_support_min,capacity_support_mean,capacity_support_max,capacity_oracle_test_accuracy,capacity_oracle_test_margin_mean,capacity_oracle_test_margin_p10,capacity_oracle_test_margin_finite_fraction,capacity_linear_test_accuracy,capacity_linear_test_margin_mean,capacity_linear_test_margin_p10,capacity_linear_test_margin_finite_fraction,capacity_linear_weight_norm
/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/random_sc_n6_m20_seed3__mask0043_entry_random_c200_seed44_trainseed5,random_sc_n6_m20_seed3__mask0043_entry_random_c200_seed44_trainseed5,random_sc_n6_m20_seed3__mask_random_sc_n6_m20_seed3__mask0043_entry_random_c200_seed44,random_sc_n6_m20_seed3,random_sc_n6_m20_seed3__mask0043_entry_random_c200_seed44,entry_random,44,5,0,6,20,20,400,200,20,20,0.5,1.0,1.0,0.11699999999999999,0.1279999999999999,160,200,40,34,37.0,41,0.04054054054054057,18,19.75,21,0.034810126582278444,recomputed,34,37.0,41,0.04054054054054057,18,19.75,21,0.034810126582278444,recomputed,19,15.979828864138684,3.2306161145788415,180.35783307227823,3.279437597434727,0.13711956515366064,0.07115384615384612,0.002162906804733728,0.10523076923076946,0.0,1.3333333333333333,89.32,87.2,91.5,91.5,71.9,4.0,87.8,86.6,14.34462308883667,6,20,4,4,20,200,18,19.75,1.0,4,4.0,4,1.0,4.402540492351306,1.2524631830967872,1.0,0.975,0.3342124645931681,0.0677299764960244,1.0,0.27033332878512156
/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/random_sc_n6_m20_seed3__mask0080_edge_block_c200_seed1_trainseed1,random_sc_n6_m20_seed3__mask0080_edge_block_c200_seed1_trainseed1,random_sc_n6_m20_seed3__mask_random_sc_n6_m20_seed3__mask0080_edge_block_c200_seed1,random_sc_n6_m20_seed3,random_sc_n6_m20_seed3__mask0080_edge_block_c200_seed1,edge_block,1,1,0,6,20,20,400,200,10,20,0.5,0.5,1.0,0.5,0.0,160,200,40,40,40.0,40,0.0,40,40.0,40,0.0,recomputed,40,40.0,40,0.0,40,40.0,40,0.0,recomputed,19,15.979828864138684,3.2306161145788415,181.648739216716,2.7752918120896797,0.13711956515366064,0.07115384615384612,0.002162906804733728,0.10523076923076946,0.0,1.3333333333333333,92.32,90.3,91.5,92.5,79.45,6.0,89.8,89.4,14.749676704406738,6,20,4,4,20,200,40,40.0,1.0,4,4.0,4,1.0,4.402540492351306,1.2524631830967872,1.0,0.975,0.3342124645931681,0.0677299764960244,1.0,0.27033332878512156
/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/random_sc_n6_m20_seed3__mask0080_edge_block_c200_seed1_trainseed2,random_sc_n6_m20_seed3__mask0080_edge_block_c200_seed1_trainseed2,random_sc_n6_m20_seed3__mask_random_sc_n6_m20_seed3__mask0080_edge_block_c200_seed1,random_sc_n6_m20_seed3,random_sc_n6_m20_seed3__mask0080_edge_block_c200_seed1,edge_block,1,2,0,6,20,20,400,200,10,20,0.5,0.5,1.0,0.5,0.0,160,200,40,40,40.0,40,0.0,40,40.0,40,0.0,recomputed,40,40.0,40,0.0,40,40.0,40,0.0,recomputed,19,15.979828864138684,3.2306161145788415,181.648739216716,2.7752918120896797,0.13711956515366064,0.07115384615384612,0.002162906804733728,0.10523076923076946,0.0,1.3333333333333333,80.34,78.3,80.5,82.0,69.3,4.0,77.0,75.2,14.729543209075928,6,20,4,4,20,200,40,40.0,1.0,4,4.0,4,1.0,4.402540492351306,1.2524631830967872,1.0,0.975,0.3342124645931681,0.0677299764960244,1.0,0.27033332878512156
/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/random_sc_n6_m20_seed3__mask0080_edge_block_c200_seed1_trainseed3,random_sc_n6_m20_seed3__mask0080_edge_block_c200_seed1_trainseed3,random_sc_n6_m20_seed3__mask_random_sc_n6_m20_seed3__mask0080_edge_block_c200_seed1,random_sc_n6_m20_seed3,random_sc_n6_m20_seed3__mask0080_edge_block_c200_seed1,edge_block,1,3,0,6,20,20,400,200,10,20,0.5,0.5,1.0,0.5,0.0,160,200,40,40,40.0,40,0.0,40,40.0,40,0.0,recomputed,40,40.0,40,0.0,40,40.0,40,0.0,recomputed,19,15.979828864138684,3.2306161145788415,181.648739216716,2.7752918120896797,0.13711956515366064,0.07115384615384612,0.002162906804733728,0.10523076923076946,0.0,1.3333333333333333,90.52,86.2,87.0,87.0,75.4,3.5,89.8,85.4,14.694443225860596,6,20,4,4,20,200,40,40.0,1.0,4,4.0,4,1.0,4.402540492351306,1.2524631830967872,1.0,0.975,0.3342124645931681,0.0677299764960244,1.0,0.27033332878512156
/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/random_sc_n6_m20_seed3__mask0080_edge_block_c200_seed1_trainseed4,random_sc_n6_m20_seed3__mask0080_edge_block_c200_seed1_trainseed4,random_sc_n6_m20_seed3__mask_random_sc_n6_m20_seed3__mask0080_edge_block_c200_seed1,random_sc_n6_m20_seed3,random_sc_n6_m20_seed3__mask0080_edge_block_c200_seed1,edge_block,1,4,0,6,20,20,400,200,10,20,0.5,0.5,1.0,0.5,0.0,160,200,40,40,40.0,40,0.0,40,40.0,40,0.0,recomputed,40,40.0,40,0.0,40,40.0,40,0.0,recomputed,19,15.979828864138684,3.2306161145788415,181.648739216716,2.7752918120896797,0.13711956515366064,0.07115384615384612,0.002162906804733728,0.10523076923076946,0.0,1.3333333333333333,92.48,89.3,87.5,90.0,79.75,5.0,89.6,93.4,14.524540185928345,6,20,4,4,20,200,40,40.0,1.0,4,4.0,4,1.0,4.402540492351306,1.2524631830967872,1.0,0.975,0.3342124645931681,0.0677299764960244,1.0,0.27033332878512156
/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/random_sc_n6_m20_seed3__mask0080_edge_block_c200_seed1_trainseed5,random_sc_n6_m20_seed3__mask0080_edge_block_c200_seed1_trainseed5,random_sc_n6_m20_seed3__mask_random_sc_n6_m20_seed3__mask0080_edge_block_c200_seed1,random_sc_n6_m20_seed3,random_sc_n6_m20_seed3__mask0080_edge_block_c200_seed1,edge_block,1,5,0,6,20,20,400,200,10,20,0.5,0.5,1.0,0.5,0.0,160,200,40,40,40.0,40,0.0,40,40.0,40,0.0,recomputed,40,40.0,40,0.0,40,40.0,40,0.0,recomputed,19,15.979828864138684,3.2306161145788415,181.648739216716,2.7752918120896797,0.13711956515366064,0.07115384615384612,0.002162906804733728,0.10523076923076946,0.0,1.3333333333333333,92.88,92.1,94.0,94.0,81.05,3.5,92.8,91.0,17.946763277053833,6,20,4,4,20,200,40,40.0,1.0,4,4.0,4,1.0,4.402540492351306,1.2524631830967872,1.0,0.975,0.3342124645931681,0.0677299764960244,1.0,0.27033332878512156
/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/random_sc_n6_m20_seed3__mask0091_edge_block_c200_seed12_trainseed1,random_sc_n6_m20_seed3__mask0091_edge_block_c200_seed12_trainseed1,random_sc_n6_m20_seed3__mask_random_sc_n6_m20_seed3__mask0091_edge_block_c200_seed12,random_sc_n6_m20_seed3,random_sc_n6_m20_seed3__mask0091_edge_block_c200_seed12,edge_block,12,1,0,6,20,20,400,200,10,20,0.5,0.5,1.0,0.5,0.0,160,200,40,40,40.0,40,0.0,40,40.0,40,0.0,recomputed,40,40.0,40,0.0,40,40.0,40,0.0,recomputed,19,15.979828864138684,3.2306161145788415,188.39695800474948,2.0218383634355312,0.13711956515366064,0.07115384615384612,0.002162906804733728,0.10523076923076946,0.0,1.3333333333333333,69.2,67.0,61.0,70.0,58.3,3.0,66.6,66.2,14.561899900436401,6,20,4,4,20,200,40,40.0,1.0,4,4.0,4,1.0,4.402540492351306,1.2524631830967872,1.0,0.975,0.3342124645931681,0.0677299764960244,1.0,0.27033332878512156
/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/random_sc_n6_m20_seed3__mask0091_edge_block_c200_seed12_trainseed2,random_sc_n6_m20_seed3__mask0091_edge_block_c200_seed12_trainseed2,random_sc_n6_m20_seed3__mask_random_sc_n6_m20_seed3__mask0091_edge_block_c200_seed12,random_sc_n6_m20_seed3,random_sc_n6_m20_seed3__mask0091_edge_block_c200_seed12,edge_block,12,2,0,6,20,20,400,200,10,20,0.5,0.5,1.0,0.5,0.0,160,200,40,40,40.0,40,0.0,40,40.0,40,0.0,recomputed,40,40.0,40,0.0,40,40.0,40,0.0,recomputed,19,15.979828864138684,3.2306161145788415,188.39695800474948,2.0218383634355312,0.13711956515366064,0.07115384615384612,0.002162906804733728,0.10523076923076946,0.0,1.3333333333333333,75.06,76.2,70.0,77.0,66.95,4.0,75.2,71.4,14.553035974502563,6,20,4,4,20,200,40,40.0,1.0,4,4.0,4,1.0,4.402540492351306,1.2524631830967872,1.0,0.975,0.3342124645931681,0.0677299764960244,1.0,0.27033332878512156
/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/random_sc_n6_m20_seed3__mask0091_edge_block_c200_seed12_trainseed3,random_sc_n6_m20_seed3__mask0091_edge_block_c200_seed12_trainseed3,random_sc_n6_m20_seed3__mask_random_sc_n6_m20_seed3__mask0091_edge_block_c200_seed12,random_sc_n6_m20_seed3,random_sc_n6_m20_seed3__mask0091_edge_block_c200_seed12,edge_block,12,3,0,6,20,20,400,200,10,20,0.5,0.5,1.0,0.5,0.0,160,200,40,40,40.0,40,0.0,40,40.0,40,0.0,recomputed,40,40.0,40,0.0,40,40.0,40,0.0,recomputed,19,15.979828864138684,3.2306161145788415,188.39695800474948,2.0218383634355312,0.13711956515366064,0.07115384615384612,0.002162906804733728,0.10523076923076946,0.0,1.3333333333333333,78.14,78.2,77.5,77.5,70.2,3.0,71.0,76.0,15.394770383834839,6,20,4,4,20,200,40,40.0,1.0,4,4.0,4,1.0,4.402540492351306,1.2524631830967872,1.0,0.975,0.3342124645931681,0.0677299764960244,1.0,0.27033332878512156
/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/random_sc_n6_m20_seed3__mask0091_edge_block_c200_seed12_trainseed4,random_sc_n6_m20_seed3__mask0091_edge_block_c200_seed12_trainseed4,random_sc_n6_m20_seed3__mask_random_sc_n6_m20_seed3__mask0091_edge_block_c200_seed12,random_sc_n6_m20_seed3,random_sc_n6_m20_seed3__mask0091_edge_block_c200_seed12,edge_block,12,4,0,6,20,20,400,200,10,20,0.5,0.5,1.0,0.5,0.0,160,200,40,40,40.0,40,0.0,40,40.0,40,0.0,recomputed,40,40.0,40,0.0,40,40.0,40,0.0,recomputed,19,15.979828864138684,3.2306161145788415,188.39695800474948,2.0218383634355312,0.13711956515366064,0.07115384615384612,0.002162906804733728,0.10523076923076946,0.0,1.3333333333333333,73.94,74.7,76.0,76.0,67.1,3.5,73.6,68.2,15.628312110900879,6,20,4,4,20,200,40,40.0,1.0,4,4.0,4,1.0,4.402540492351306,1.2524631830967872,1.0,0.975,0.3342124645931681,0.0677299764960244,1.0,0.27033332878512156
