run_dir,label,topology_id,intervention,repeat,baseline_target_accuracy,target_accuracy,target_accuracy_delta,baseline_branch_active_tree_mi,branch_active_tree_mi,branch_active_tree_mi_delta
/home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0122_base01_degree_balanced_seed60_rw5473513_trainseed1,mb0122_base01_degree_balanced_seed60_rw5473513_trainseed1,mb0122_base01_degree_balanced_seed60_rw5473513,decoder_root_permutation,0,95.99999785423279,55.000001192092896,-40.99999666213989,0.8856252292974006,0.8856252292974006,0.0
/home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0122_base01_degree_balanced_seed60_rw5473513_trainseed1,mb0122_base01_degree_balanced_seed60_rw5473513_trainseed1,mb0122_base01_degree_balanced_seed60_rw5473513,decoder_root_permutation,1,95.99999785423279,11.500000208616257,-84.49999764561653,0.8856252292974006,0.8856252292974006,0.0
/home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0127_base01_degree_balanced_seed60_rw7026294_trainseed1,mb0127_base01_degree_balanced_seed60_rw7026294_trainseed1,mb0127_base01_degree_balanced_seed60_rw7026294,context_block_shuffle,0,98.50000143051147,1.9999999552965164,-96.50000147521496,0.9735444541836791,0.987652224581788,0.014107770398108954
/home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0127_base01_degree_balanced_seed60_rw7026294_trainseed1,mb0127_base01_degree_balanced_seed60_rw7026294_trainseed1,mb0127_base01_degree_balanced_seed60_rw7026294,context_block_shuffle,1,98.50000143051147,1.9999999552965164,-96.50000147521496,0.9735444541836791,0.987652224581788,0.014107770398108954
/home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0127_base01_degree_balanced_seed60_rw7026294_trainseed1,mb0127_base01_degree_balanced_seed60_rw7026294_trainseed1,mb0127_base01_degree_balanced_seed60_rw7026294,stat_preserving_projection_scramble,0,98.50000143051147,36.000001430511475,-62.5,0.9735444541836791,0.3225503074165142,-0.6509941467671649
/home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0127_base01_degree_balanced_seed60_rw7026294_trainseed1,mb0127_base01_degree_balanced_seed60_rw7026294_trainseed1,mb0127_base01_degree_balanced_seed60_rw7026294,stat_preserving_projection_scramble,1,98.50000143051147,31.999999284744263,-66.50000214576721,0.9735444541836791,0.3123517235327738,-0.6611927306509053
/home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0127_base01_degree_balanced_seed60_rw7026294_trainseed1,mb0127_base01_degree_balanced_seed60_rw7026294_trainseed1,mb0127_base01_degree_balanced_seed60_rw7026294,stat_preserving_branch_alignment_scramble,0,98.50000143051147,40.00000059604645,-58.50000083446503,0.9735444541836791,0.9815239571806483,0.007979502996969257
/home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0127_base01_degree_balanced_seed60_rw7026294_trainseed1,mb0127_base01_degree_balanced_seed60_rw7026294_trainseed1,mb0127_base01_degree_balanced_seed60_rw7026294,stat_preserving_branch_alignment_scramble,1,98.50000143051147,27.500000596046448,-71.00000083446503,0.9735444541836791,0.9761339289010263,0.002589474717347273
/home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0127_base01_degree_balanced_seed60_rw7026294_trainseed1,mb0127_base01_degree_balanced_seed60_rw7026294_trainseed1,mb0127_base01_degree_balanced_seed60_rw7026294,decoder_root_permutation,0,98.50000143051147,62.99999952316284,-35.50000190734863,0.9735444541836791,0.9735444541836791,0.0
/home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0127_base01_degree_balanced_seed60_rw7026294_trainseed1,mb0127_base01_degree_balanced_seed60_rw7026294_trainseed1,mb0127_base01_degree_balanced_seed60_rw7026294,decoder_root_permutation,1,98.50000143051147,18.50000023841858,-80.0000011920929,0.9735444541836791,0.9735444541836791,0.0
/home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0250_base03_random_sc_seed92_rw5413294_trainseed1,mb0250_base03_random_sc_seed92_rw5413294_trainseed1,mb0250_base03_random_sc_seed92_rw5413294,context_block_shuffle,0,71.49999737739563,4.500000178813934,-66.9999971985817,0.6588808081344438,0.6216730905997491,-0.03720771753469476
/home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0250_base03_random_sc_seed92_rw5413294_trainseed1,mb0250_base03_random_sc_seed92_rw5413294_trainseed1,mb0250_base03_random_sc_seed92_rw5413294,context_block_shuffle,1,71.49999737739563,4.500000178813934,-66.9999971985817,0.6588808081344438,0.6216730905997491,-0.03720771753469476
/home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0250_base03_random_sc_seed92_rw5413294_trainseed1,mb0250_base03_random_sc_seed92_rw5413294_trainseed1,mb0250_base03_random_sc_seed92_rw5413294,stat_preserving_projection_scramble,0,71.49999737739563,27.500000596046448,-43.99999678134918,0.6588808081344438,0.30400791578078407,-0.35487289235365976
