topology_index,topology_id,topology_name,train_seed,completed,output,results_path,command
8,degrewire0008_baseg0354_degree_balanced_seed9_seed8,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed8,2,True,/Users/aadarwal/code/statmech/topology/ICL/results/exact_degree_exact_drel_exact_multiplicity_normal_fan_training/degrewire0008_baseg0354_degree_balanced_seed9_seed8_trainseed2,/Users/aadarwal/code/statmech/topology/ICL/results/exact_degree_exact_drel_exact_multiplicity_normal_fan_training/degrewire0008_baseg0354_degree_balanced_seed9_seed8_trainseed2/results.pkl,python3 -u run_topology_icl.py --output /Users/aadarwal/code/statmech/topology/ICL/results/exact_degree_exact_drel_exact_multiplicity_normal_fan_training/degrewire0008_baseg0354_degree_balanced_seed9_seed8_trainseed2 --edge_json /home/aadarwal/repos/topology/ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/topologies/degrewire0008_seed8.json --seed 2 --input_mask_seed 2 --no_progress --K 128 --L 128 --D 2 --N 3 --B 1 --epsilon 0.001 --epochs 100 --lr 0.0025 --batch_size 50 --train_samples 5000 --val_samples 1000 --eval_frequency 10 --n_eval_samples 200 --test_samples 500 --method direct_solve --temperature 1.0 --device auto
8,degrewire0008_baseg0354_degree_balanced_seed9_seed8,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed8,3,True,/Users/aadarwal/code/statmech/topology/ICL/results/exact_degree_exact_drel_exact_multiplicity_normal_fan_training/degrewire0008_baseg0354_degree_balanced_seed9_seed8_trainseed3,/Users/aadarwal/code/statmech/topology/ICL/results/exact_degree_exact_drel_exact_multiplicity_normal_fan_training/degrewire0008_baseg0354_degree_balanced_seed9_seed8_trainseed3/results.pkl,python3 -u run_topology_icl.py --output /Users/aadarwal/code/statmech/topology/ICL/results/exact_degree_exact_drel_exact_multiplicity_normal_fan_training/degrewire0008_baseg0354_degree_balanced_seed9_seed8_trainseed3 --edge_json /home/aadarwal/repos/topology/ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/topologies/degrewire0008_seed8.json --seed 3 --input_mask_seed 3 --no_progress --K 128 --L 128 --D 2 --N 3 --B 1 --epsilon 0.001 --epochs 100 --lr 0.0025 --batch_size 50 --train_samples 5000 --val_samples 1000 --eval_frequency 10 --n_eval_samples 200 --test_samples 500 --method direct_solve --temperature 1.0 --device auto
8,degrewire0008_baseg0354_degree_balanced_seed9_seed8,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed8,4,True,/Users/aadarwal/code/statmech/topology/ICL/results/exact_degree_exact_drel_exact_multiplicity_normal_fan_training/degrewire0008_baseg0354_degree_balanced_seed9_seed8_trainseed4,/Users/aadarwal/code/statmech/topology/ICL/results/exact_degree_exact_drel_exact_multiplicity_normal_fan_training/degrewire0008_baseg0354_degree_balanced_seed9_seed8_trainseed4/results.pkl,python3 -u run_topology_icl.py --output /Users/aadarwal/code/statmech/topology/ICL/results/exact_degree_exact_drel_exact_multiplicity_normal_fan_training/degrewire0008_baseg0354_degree_balanced_seed9_seed8_trainseed4 --edge_json /home/aadarwal/repos/topology/ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/topologies/degrewire0008_seed8.json --seed 4 --input_mask_seed 4 --no_progress --K 128 --L 128 --D 2 --N 3 --B 1 --epsilon 0.001 --epochs 100 --lr 0.0025 --batch_size 50 --train_samples 5000 --val_samples 1000 --eval_frequency 10 --n_eval_samples 200 --test_samples 500 --method direct_solve --temperature 1.0 --device auto
8,degrewire0008_baseg0354_degree_balanced_seed9_seed8,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed8,5,True,/Users/aadarwal/code/statmech/topology/ICL/results/exact_degree_exact_drel_exact_multiplicity_normal_fan_training/degrewire0008_baseg0354_degree_balanced_seed9_seed8_trainseed5,/Users/aadarwal/code/statmech/topology/ICL/results/exact_degree_exact_drel_exact_multiplicity_normal_fan_training/degrewire0008_baseg0354_degree_balanced_seed9_seed8_trainseed5/results.pkl,python3 -u run_topology_icl.py --output /Users/aadarwal/code/statmech/topology/ICL/results/exact_degree_exact_drel_exact_multiplicity_normal_fan_training/degrewire0008_baseg0354_degree_balanced_seed9_seed8_trainseed5 --edge_json /home/aadarwal/repos/topology/ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/topologies/degrewire0008_seed8.json --seed 5 --input_mask_seed 5 --no_progress --K 128 --L 128 --D 2 --N 3 --B 1 --epsilon 0.001 --epochs 100 --lr 0.0025 --batch_size 50 --train_samples 5000 --val_samples 1000 --eval_frequency 10 --n_eval_samples 200 --test_samples 500 --method direct_solve --temperature 1.0 --device auto
9,degrewire0009_baseg0354_degree_balanced_seed9_seed9,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed9,1,True,/Users/aadarwal/code/statmech/topology/ICL/results/exact_degree_exact_drel_exact_multiplicity_normal_fan_training/degrewire0009_baseg0354_degree_balanced_seed9_seed9_trainseed1,/Users/aadarwal/code/statmech/topology/ICL/results/exact_degree_exact_drel_exact_multiplicity_normal_fan_training/degrewire0009_baseg0354_degree_balanced_seed9_seed9_trainseed1/results.pkl,python3 -u run_topology_icl.py --output /Users/aadarwal/code/statmech/topology/ICL/results/exact_degree_exact_drel_exact_multiplicity_normal_fan_training/degrewire0009_baseg0354_degree_balanced_seed9_seed9_trainseed1 --edge_json /home/aadarwal/repos/topology/ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/topologies/degrewire0009_seed9.json --seed 1 --input_mask_seed 1 --no_progress --K 128 --L 128 --D 2 --N 3 --B 1 --epsilon 0.001 --epochs 100 --lr 0.0025 --batch_size 50 --train_samples 5000 --val_samples 1000 --eval_frequency 10 --n_eval_samples 200 --test_samples 500 --method direct_solve --temperature 1.0 --device auto
9,degrewire0009_baseg0354_degree_balanced_seed9_seed9,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed9,2,True,/Users/aadarwal/code/statmech/topology/ICL/results/exact_degree_exact_drel_exact_multiplicity_normal_fan_training/degrewire0009_baseg0354_degree_balanced_seed9_seed9_trainseed2,/Users/aadarwal/code/statmech/topology/ICL/results/exact_degree_exact_drel_exact_multiplicity_normal_fan_training/degrewire0009_baseg0354_degree_balanced_seed9_seed9_trainseed2/results.pkl,python3 -u run_topology_icl.py --output /Users/aadarwal/code/statmech/topology/ICL/results/exact_degree_exact_drel_exact_multiplicity_normal_fan_training/degrewire0009_baseg0354_degree_balanced_seed9_seed9_trainseed2 --edge_json /home/aadarwal/repos/topology/ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/topologies/degrewire0009_seed9.json --seed 2 --input_mask_seed 2 --no_progress --K 128 --L 128 --D 2 --N 3 --B 1 --epsilon 0.001 --epochs 100 --lr 0.0025 --batch_size 50 --train_samples 5000 --val_samples 1000 --eval_frequency 10 --n_eval_samples 200 --test_samples 500 --method direct_solve --temperature 1.0 --device auto
9,degrewire0009_baseg0354_degree_balanced_seed9_seed9,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed9,3,True,/Users/aadarwal/code/statmech/topology/ICL/results/exact_degree_exact_drel_exact_multiplicity_normal_fan_training/degrewire0009_baseg0354_degree_balanced_seed9_seed9_trainseed3,/Users/aadarwal/code/statmech/topology/ICL/results/exact_degree_exact_drel_exact_multiplicity_normal_fan_training/degrewire0009_baseg0354_degree_balanced_seed9_seed9_trainseed3/results.pkl,python3 -u run_topology_icl.py --output /Users/aadarwal/code/statmech/topology/ICL/results/exact_degree_exact_drel_exact_multiplicity_normal_fan_training/degrewire0009_baseg0354_degree_balanced_seed9_seed9_trainseed3 --edge_json /home/aadarwal/repos/topology/ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/topologies/degrewire0009_seed9.json --seed 3 --input_mask_seed 3 --no_progress --K 128 --L 128 --D 2 --N 3 --B 1 --epsilon 0.001 --epochs 100 --lr 0.0025 --batch_size 50 --train_samples 5000 --val_samples 1000 --eval_frequency 10 --n_eval_samples 200 --test_samples 500 --method direct_solve --temperature 1.0 --device auto
9,degrewire0009_baseg0354_degree_balanced_seed9_seed9,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed9,4,True,/Users/aadarwal/code/statmech/topology/ICL/results/exact_degree_exact_drel_exact_multiplicity_normal_fan_training/degrewire0009_baseg0354_degree_balanced_seed9_seed9_trainseed4,/Users/aadarwal/code/statmech/topology/ICL/results/exact_degree_exact_drel_exact_multiplicity_normal_fan_training/degrewire0009_baseg0354_degree_balanced_seed9_seed9_trainseed4/results.pkl,python3 -u run_topology_icl.py --output /Users/aadarwal/code/statmech/topology/ICL/results/exact_degree_exact_drel_exact_multiplicity_normal_fan_training/degrewire0009_baseg0354_degree_balanced_seed9_seed9_trainseed4 --edge_json /home/aadarwal/repos/topology/ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/topologies/degrewire0009_seed9.json --seed 4 --input_mask_seed 4 --no_progress --K 128 --L 128 --D 2 --N 3 --B 1 --epsilon 0.001 --epochs 100 --lr 0.0025 --batch_size 50 --train_samples 5000 --val_samples 1000 --eval_frequency 10 --n_eval_samples 200 --test_samples 500 --method direct_solve --temperature 1.0 --device auto
9,degrewire0009_baseg0354_degree_balanced_seed9_seed9,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed9,5,True,/Users/aadarwal/code/statmech/topology/ICL/results/exact_degree_exact_drel_exact_multiplicity_normal_fan_training/degrewire0009_baseg0354_degree_balanced_seed9_seed9_trainseed5,/Users/aadarwal/code/statmech/topology/ICL/results/exact_degree_exact_drel_exact_multiplicity_normal_fan_training/degrewire0009_baseg0354_degree_balanced_seed9_seed9_trainseed5/results.pkl,python3 -u run_topology_icl.py --output /Users/aadarwal/code/statmech/topology/ICL/results/exact_degree_exact_drel_exact_multiplicity_normal_fan_training/degrewire0009_baseg0354_degree_balanced_seed9_seed9_trainseed5 --edge_json /home/aadarwal/repos/topology/ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/topologies/degrewire0009_seed9.json --seed 5 --input_mask_seed 5 --no_progress --K 128 --L 128 --D 2 --N 3 --B 1 --epsilon 0.001 --epochs 100 --lr 0.0025 --batch_size 50 --train_samples 5000 --val_samples 1000 --eval_frequency 10 --n_eval_samples 200 --test_samples 500 --method direct_solve --temperature 1.0 --device auto
10,degrewire0010_baseg0354_degree_balanced_seed9_seed10,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed10,1,True,/Users/aadarwal/code/statmech/topology/ICL/results/exact_degree_exact_drel_exact_multiplicity_normal_fan_training/degrewire0010_baseg0354_degree_balanced_seed9_seed10_trainseed1,/Users/aadarwal/code/statmech/topology/ICL/results/exact_degree_exact_drel_exact_multiplicity_normal_fan_training/degrewire0010_baseg0354_degree_balanced_seed9_seed10_trainseed1/results.pkl,python3 -u run_topology_icl.py --output /Users/aadarwal/code/statmech/topology/ICL/results/exact_degree_exact_drel_exact_multiplicity_normal_fan_training/degrewire0010_baseg0354_degree_balanced_seed9_seed10_trainseed1 --edge_json /home/aadarwal/repos/topology/ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/topologies/degrewire0010_seed10.json --seed 1 --input_mask_seed 1 --no_progress --K 128 --L 128 --D 2 --N 3 --B 1 --epsilon 0.001 --epochs 100 --lr 0.0025 --batch_size 50 --train_samples 5000 --val_samples 1000 --eval_frequency 10 --n_eval_samples 200 --test_samples 500 --method direct_solve --temperature 1.0 --device auto
