idx,selected,topology_id,topology_name,family,seed,n_nodes,n_edges,p,edge_json,d_rel,comparison_branch_common_d_rel_min,comparison_branch_common_d_rel_mean,comparison_branch_common_d_rel_max,comparison_branch_common_d_rel_gini,comparison_branch_d_rel_min,comparison_branch_d_rel_mean,comparison_branch_d_rel_max,comparison_branch_d_rel_gini,rank_D,effective_rank_D,condition_number_D,condition_number_D_log,root_tree_count_gini,edge_participation_gini,bottleneck_edge_fraction_095,mean_shortest_path,in_degree_cv,out_degree_cv,n_trees_total_enum,n_trees_total_enum_log
0,0,g0000_cycle_chords_seed1,cycle_chords,cycle_chords,1,5,12,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n5_m12_N3_D2/topologies/g0000_cycle_chords_seed1.json,88,22,22.0,22,0.0,22,22.0,22,0.0,11,8.823847727325367,3.7158467184667234,0.5700577907099038,0.1692307692307693,0.12553418803418803,0.0,1.4,0.2041241452319315,0.2041241452319315,78,1.8920946026904804
1,0,g0001_cycle_chords_seed2,cycle_chords,cycle_chords,2,5,12,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n5_m12_N3_D2/topologies/g0001_cycle_chords_seed2.json,88,22,22.0,22,0.0,22,22.0,22,0.0,11,8.362005884433806,6.877819250397479,0.8374507583446097,0.48888888888888893,0.1620370370370372,0.0,1.55,0.5651941652604391,0.4249182927993988,72,1.8573324964312685
2,0,g0002_cycle_chords_seed3,cycle_chords,cycle_chords,3,5,12,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n5_m12_N3_D2/topologies/g0002_cycle_chords_seed3.json,88,22,22.0,22,0.0,22,22.0,22,0.0,11,8.691719972680666,4.781043330282483,0.679522679696063,0.21081081081081088,0.11599099099099108,0.0,1.45,0.33333333333333337,0.2041241452319315,74,1.8692317197309762
3,0,g0003_cycle_chords_seed4,cycle_chords,cycle_chords,4,5,12,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n5_m12_N3_D2/topologies/g0003_cycle_chords_seed4.json,88,22,22.0,22,0.0,22,22.0,22,0.0,11,9.03318906758729,2.981567246579883,0.47444460891544016,0.10752688172043023,0.12231182795698903,0.0,1.4,0.2041241452319315,0.2041241452319315,93,1.968482948553935
4,0,g0004_cycle_chords_seed5,cycle_chords,cycle_chords,5,5,12,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n5_m12_N3_D2/topologies/g0004_cycle_chords_seed5.json,88,22,22.0,22,0.0,22,22.0,22,0.0,11,8.585406719659378,3.8641193865627703,0.5870505359951248,0.22857142857142865,0.22156084656084674,0.0,1.4,0.2041241452319315,0.4249182927993988,63,1.7993405494535817
5,0,g0005_cycle_chords_seed6,cycle_chords,cycle_chords,6,5,12,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n5_m12_N3_D2/topologies/g0005_cycle_chords_seed6.json,88,22,22.0,22,0.0,22,22.0,22,0.0,11,8.658002182294675,4.264876331841513,0.6299064424959219,0.3272727272727274,0.16414141414141414,0.0,1.45,0.2041241452319315,0.33333333333333337,66,1.8195439355418688
6,0,g0006_cycle_chords_seed7,cycle_chords,cycle_chords,7,5,12,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n5_m12_N3_D2/topologies/g0006_cycle_chords_seed7.json,88,22,22.0,22,0.0,22,22.0,22,0.0,11,8.243132886426656,5.420074902321929,0.7340052882801441,0.17500000000000004,0.2239583333333337,0.0,1.45,0.33333333333333337,0.4249182927993988,48,1.6812412373755872
7,0,g0007_cycle_chords_seed8,cycle_chords,cycle_chords,8,5,12,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n5_m12_N3_D2/topologies/g0007_cycle_chords_seed8.json,88,22,22.0,22,0.0,22,22.0,22,0.0,11,8.999792245433417,3.5374715232139358,0.5486929524586142,0.23188405797101463,0.1859903381642518,0.0,1.45,0.3333333333333334,0.33333333333333337,69,1.8388490907372552
8,0,g0008_cycle_chords_seed9,cycle_chords,cycle_chords,9,5,12,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n5_m12_N3_D2/topologies/g0008_cycle_chords_seed9.json,88,22,22.0,22,0.0,22,22.0,22,0.0,11,8.635215820143312,4.206432394120845,0.6239139133167182,0.1705882352941177,0.15502450980392157,0.0,1.45,0.33333333333333337,0.2041241452319315,68,1.8325089127062364
9,0,g0009_cycle_chords_seed10,cycle_chords,cycle_chords,10,5,12,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n5_m12_N3_D2/topologies/g0009_cycle_chords_seed10.json,88,22,22.0,22,0.0,22,22.0,22,0.0,11,8.787924143771555,4.049159719702059,0.6073649079161471,0.22222222222222232,0.125,0.0,1.4,0.5,0.2041241452319315,81,1.9084850188786497
10,0,g0010_cycle_chords_seed11,cycle_chords,cycle_chords,11,5,12,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n5_m12_N3_D2/topologies/g0010_cycle_chords_seed11.json,88,22,22.0,22,0.0,22,22.0,22,0.0,11,8.968942160193619,3.3319065723347343,0.5226928151572152,0.15652173913043477,0.19746376811594213,0.0,1.4,0.2041241452319315,0.33333333333333337,69,1.8388490907372552
11,0,g0011_cycle_chords_seed12,cycle_chords,cycle_chords,12,5,12,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n5_m12_N3_D2/topologies/g0011_cycle_chords_seed12.json,88,22,22.0,22,0.0,22,22.0,22,0.0,11,8.431907958373682,5.187951407149405,0.7149958996198863,0.4125000000000001,0.16015625,0.0,1.5,0.5000000000000001,0.33333333333333337,64,1.806179973983887
12,0,g0012_cycle_chords_seed13,cycle_chords,cycle_chords,13,5,12,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n5_m12_N3_D2/topologies/g0012_cycle_chords_seed13.json,88,22,22.0,22,0.0,22,22.0,22,0.0,11,8.843561845797694,3.5607801297206367,0.551545157780656,0.17142857142857149,0.22817460317460325,0.0,1.45,0.2041241452319315,0.4249182927993988,63,1.7993405494535817
13,0,g0013_cycle_chords_seed14,cycle_chords,cycle_chords,14,5,12,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n5_m12_N3_D2/topologies/g0013_cycle_chords_seed14.json,88,22,22.0,22,0.0,22,22.0,22,0.0,11,8.510013210723178,3.839611044219456,0.5842872322048116,0.22456140350877196,0.19590643274853803,0.0,1.45,0.2041241452319315,0.33333333333333337,57,1.7558748556724915
14,0,g0014_cycle_chords_seed15,cycle_chords,cycle_chords,15,5,12,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n5_m12_N3_D2/topologies/g0014_cycle_chords_seed15.json,88,22,22.0,22,0.0,22,22.0,22,0.0,11,8.874892820546497,4.697247943192323,0.6718434849263316,0.19753086419753085,0.11934156378600824,0.0,1.45,0.33333333333333337,0.2041241452319315,81,1.9084850188786497
15,0,g0015_cycle_chords_seed16,cycle_chords,cycle_chords,16,5,12,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n5_m12_N3_D2/topologies/g0015_cycle_chords_seed16.json,88,22,22.0,22,0.0,22,22.0,22,0.0,11,8.855617155401173,3.6453789201483273,0.5617426778875818,0.1548387096774193,0.2426075268817205,0.0,1.45,0.2041241452319315,0.4249182927993988,62,1.792391689498254
16,0,g0016_cycle_chords_seed17,cycle_chords,cycle_chords,17,5,12,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n5_m12_N3_D2/topologies/g0016_cycle_chords_seed17.json,88,22,22.0,22,0.0,22,22.0,22,0.0,11,8.809493052698704,4.5169590161487685,0.6548461500829383,0.23589743589743595,0.10790598290598274,0.0,1.45,0.33333333333333337,0.2041241452319315,78,1.8920946026904804
17,0,g0017_cycle_chords_seed18,cycle_chords,cycle_chords,18,5,12,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n5_m12_N3_D2/topologies/g0017_cycle_chords_seed18.json,88,22,22.0,22,0.0,22,22.0,22,0.0,11,8.585406719659375,3.8641193865627748,0.5870505359951252,0.22857142857142865,0.22156084656084674,0.0,1.4,0.2041241452319315,0.4249182927993988,63,1.7993405494535817
18,0,g0018_cycle_chords_seed19,cycle_chords,cycle_chords,19,5,12,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n5_m12_N3_D2/topologies/g0018_cycle_chords_seed19.json,88,22,22.0,22,0.0,22,22.0,22,0.0,11,8.904244061791633,3.299445027707888,0.5184408969466623,0.12195121951219523,0.13414634146341475,0.0,1.4,0.2041241452319315,0.2041241452319315,82,1.9138138523837167
19,0,g0019_cycle_chords_seed20,cycle_chords,cycle_chords,20,5,12,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n5_m12_N3_D2/topologies/g0019_cycle_chords_seed20.json,88,22,22.0,22,0.0,22,22.0,22,0.0,11,8.553709393629996,3.864744357867416,0.5871207718275893,0.27733333333333343,0.17333333333333356,0.0,1.45,0.4249182927993988,0.33333333333333337,75,1.8750612633917
20,0,g0020_cycle_chords_seed21,cycle_chords,cycle_chords,21,5,12,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n5_m12_N3_D2/topologies/g0020_cycle_chords_seed21.json,88,22,22.0,22,0.0,22,22.0,22,0.0,11,8.867278893090607,3.252724744641374,0.5122473135304795,0.10370370370370385,0.13528806584362152,0.0,1.4,0.2041241452319315,0.2041241452319315,81,1.9084850188786497
21,0,g0021_cycle_chords_seed22,cycle_chords,cycle_chords,22,5,12,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n5_m12_N3_D2/topologies/g0021_cycle_chords_seed22.json,88,22,22.0,22,0.0,22,22.0,22,0.0,11,8.983904756751494,3.759147664379092,0.5750893857205812,0.22222222222222232,0.18287037037037046,0.0,1.4,0.2041241452319315,0.33333333333333337,72,1.8573324964312685
22,0,g0022_cycle_chords_seed23,cycle_chords,cycle_chords,23,5,12,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n5_m12_N3_D2/topologies/g0022_cycle_chords_seed23.json,88,22,22.0,22,0.0,22,22.0,22,0.0,11,8.269869662922204,8.77280271219107,0.9431383628054819,0.49375000000000013,0.12955729166666674,0.0,1.6,0.4249182927993988,0.33333333333333337,64,1.806179973983887
23,0,g0023_cycle_chords_seed24,cycle_chords,cycle_chords,24,5,12,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n5_m12_N3_D2/topologies/g0023_cycle_chords_seed24.json,88,22,22.0,22,0.0,22,22.0,22,0.0,11,9.050380474249184,3.8236812477200655,0.5824816811652145,0.29000000000000004,0.1557291666666667,0.0,1.45,0.33333333333333337,0.33333333333333337,80,1.9030899869919435
24,0,g0024_cycle_chords_seed25,cycle_chords,cycle_chords,25,5,12,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n5_m12_N3_D2/topologies/g0024_cycle_chords_seed25.json,88,22,22.0,22,0.0,22,22.0,22,0.0,11,8.683029547490163,3.5561856240379845,0.5509844219807983,0.2186666666666668,0.1494444444444445,0.0,1.45,0.4249182927993988,0.2041241452319315,75,1.8750612633917
25,0,g0025_cycle_chords_seed26,cycle_chords,cycle_chords,26,5,12,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n5_m12_N3_D2/topologies/g0025_cycle_chords_seed26.json,88,22,22.0,22,0.0,22,22.0,22,0.0,11,8.431907958373682,5.187951407149406,0.7149958996198864,0.4125000000000001,0.16015625,0.0,1.5,0.5,0.33333333333333337,64,1.806179973983887
26,0,g0026_cycle_chords_seed27,cycle_chords,cycle_chords,27,5,12,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n5_m12_N3_D2/topologies/g0026_cycle_chords_seed27.json,88,22,22.0,22,0.0,22,22.0,22,0.0,11,8.858415215249183,3.360183681808188,0.5263630184063159,0.1333333333333333,0.1466049382716046,0.0,1.4,0.33333333333333337,0.2041241452319315,81,1.9084850188786497
27,0,g0027_cycle_chords_seed28,cycle_chords,cycle_chords,28,5,12,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n5_m12_N3_D2/topologies/g0027_cycle_chords_seed28.json,88,22,22.0,22,0.0,22,22.0,22,0.0,11,8.686408128892232,3.7245152127479373,0.5710697524856627,0.2666666666666666,0.18719806763285085,0.0,1.45,0.2041241452319315,0.33333333333333337,69,1.8388490907372552
28,0,g0028_cycle_chords_seed29,cycle_chords,cycle_chords,29,5,12,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n5_m12_N3_D2/topologies/g0028_cycle_chords_seed29.json,88,22,22.0,22,0.0,22,22.0,22,0.0,11,8.444557233481794,3.8905046201235325,0.590005935392999,0.10158730158730167,0.14153439153439185,0.0,1.4,0.2041241452319315,0.2041241452319315,63,1.7993405494535817
29,0,g0029_cycle_chords_seed30,cycle_chords,cycle_chords,30,5,12,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n5_m12_N3_D2/topologies/g0029_cycle_chords_seed30.json,88,22,22.0,22,0.0,22,22.0,22,0.0,11,8.8094930526987,4.516959016148769,0.6548461500829384,0.23589743589743595,0.10790598290598274,0.0,1.45,0.33333333333333337,0.2041241452319315,78,1.8920946026904804
30,0,g0030_cycle_chords_seed31,cycle_chords,cycle_chords,31,5,12,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n5_m12_N3_D2/topologies/g0030_cycle_chords_seed31.json,88,22,22.0,22,0.0,22,22.0,22,0.0,11,8.44922160217982,4.753403614879105,0.6770046921135459,0.28,0.21736111111111134,0.0,1.45,0.33333333333333337,0.4249182927993988,60,1.7781512503836436
31,0,g0031_cycle_chords_seed32,cycle_chords,cycle_chords,32,5,12,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n5_m12_N3_D2/topologies/g0031_cycle_chords_seed32.json,88,22,22.0,22,0.0,22,22.0,22,0.0,11,8.860252928228189,4.655334020157467,0.667950847058923,0.29565217391304355,0.20108695652173902,0.0,1.45,0.2041241452319315,0.4249182927993988,69,1.8388490907372552
