run_dir,label,topology_name,n_samples,n_repeats,intervention,repeat,seed,baseline_target_accuracy,target_accuracy,target_accuracy_delta,baseline_target_logprob_margin_mean,target_logprob_margin_mean,target_logprob_margin_mean_delta,baseline_branch_active_tree_mi,branch_active_tree_mi,branch_active_tree_mi_delta,baseline_branch_active_root_mi,branch_active_root_mi,branch_active_root_mi_delta,tree_entropy_mean,tree_entropy_mean_delta,root_entropy_mean,root_entropy_mean_delta,active_tree_matched_comparison_gap_mean,active_tree_matched_comparison_gap_mean_delta,posterior_matched_comparison_gap_mean,posterior_matched_comparison_gap_mean_delta
/home/aadarwal/repos/topology/ICL/results/expanded_hard_sweeps/n5_m12_N3_D2/g0040_cycle_chords_seed41_trainseed1,g0040_cycle_chords_seed41_trainseed1,cycle_chords_n5_m12_seed41,500,5,context_block_shuffle,0,0,92.40000247955322,11.20000034570694,-81.20000213384628,3.276181936264038,-5.795963764190674,-9.072145700454712,0.8295685887057092,0.8309040585880992,0.0013354698823900835,0.629637368667495,0.632481104697483,0.0028437360299879977,4.917440414428711,-0.03345298767089844,0.7150365114212036,-0.07453644275665283,-0.5029682853362031,0.017293919074447994,-0.3539155405000123,-0.006682710928679447
/home/aadarwal/repos/topology/ICL/results/expanded_hard_sweeps/n5_m12_N3_D2/g0040_cycle_chords_seed41_trainseed1,g0040_cycle_chords_seed41_trainseed1,cycle_chords_n5_m12_seed41,500,5,context_block_shuffle,1,1,92.40000247955322,11.20000034570694,-81.20000213384628,3.276181936264038,-5.795963764190674,-9.072145700454712,0.8295685887057092,0.8309040585880992,0.0013354698823900835,0.629637368667495,0.632481104697483,0.0028437360299879977,4.917440414428711,-0.03345298767089844,0.7150365114212036,-0.07453644275665283,-0.5029682853362031,0.017293919074447994,-0.3539155405000123,-0.006682710928679447
/home/aadarwal/repos/topology/ICL/results/expanded_hard_sweeps/n5_m12_N3_D2/g0040_cycle_chords_seed41_trainseed1,g0040_cycle_chords_seed41_trainseed1,cycle_chords_n5_m12_seed41,500,5,context_block_shuffle,2,2,92.40000247955322,11.20000034570694,-81.20000213384628,3.276181936264038,-5.795963764190674,-9.072145700454712,0.8295685887057092,0.8309040585880992,0.0013354698823900835,0.629637368667495,0.632481104697483,0.0028437360299879977,4.917440414428711,-0.03345298767089844,0.7150365114212036,-0.07453644275665283,-0.5029682853362031,0.017293919074447994,-0.3539155405000123,-0.006682710928679447
/home/aadarwal/repos/topology/ICL/results/expanded_hard_sweeps/n5_m12_N3_D2/g0040_cycle_chords_seed41_trainseed1,g0040_cycle_chords_seed41_trainseed1,cycle_chords_n5_m12_seed41,500,5,context_block_shuffle,3,3,92.40000247955322,42.399999499320984,-50.00000298023224,3.276181936264038,-1.7454878091812134,-5.0216697454452515,0.8295685887057092,0.8619270350100329,0.03235844630432372,0.629637368667495,0.6985497127137037,0.06891234404620872,4.911017894744873,-0.03987550735473633,0.7753890156745911,-0.01418393850326538,-0.5078937198170616,0.012368484593589524,-0.3443465375241057,0.0028862920472271236
/home/aadarwal/repos/topology/ICL/results/expanded_hard_sweeps/n5_m12_N3_D2/g0040_cycle_chords_seed41_trainseed1,g0040_cycle_chords_seed41_trainseed1,cycle_chords_n5_m12_seed41,500,5,context_block_shuffle,4,4,92.40000247955322,11.20000034570694,-81.20000213384628,3.276181936264038,-5.795963764190674,-9.072145700454712,0.8295685887057092,0.8309040585880992,0.0013354698823900835,0.629637368667495,0.632481104697483,0.0028437360299879977,4.917440414428711,-0.03345298767089844,0.7150365114212036,-0.07453644275665283,-0.5029682853362031,0.017293919074447994,-0.3539155405000123,-0.006682710928679447
/home/aadarwal/repos/topology/ICL/results/expanded_hard_sweeps/n5_m12_N3_D2/g0040_cycle_chords_seed41_trainseed1,g0040_cycle_chords_seed41_trainseed1,cycle_chords_n5_m12_seed41,500,5,edge_projection_permutation,0,1009,92.40000247955322,38.40000033378601,-54.00000214576721,3.276181936264038,-3.246882438659668,-6.523064374923706,0.8295685887057092,0.40704229502339895,-0.4225262936823102,0.629637368667495,0.10709146272566891,-0.522545905941826,4.7227253913879395,-0.22816801071166992,0.6067351698875427,-0.18283778429031372,-0.2208955411835371,0.29936666322711397,-0.18761758542552787,0.15961524414580497
/home/aadarwal/repos/topology/ICL/results/expanded_hard_sweeps/n5_m12_N3_D2/g0040_cycle_chords_seed41_trainseed1,g0040_cycle_chords_seed41_trainseed1,cycle_chords_n5_m12_seed41,500,5,edge_projection_permutation,1,1010,92.40000247955322,25.600001215934753,-66.80000126361847,3.276181936264038,-3.6750664710998535,-6.951248407363892,0.8295685887057092,0.4580395494863975,-0.37152903921931163,0.629637368667495,0.0335397611019819,-0.5960976075655131,4.887000560760498,-0.06389284133911133,0.7556518316268921,-0.033921122550964355,-0.1340739535822448,0.38618825082840624,-0.170077789289586,0.17715504028174683
/home/aadarwal/repos/topology/ICL/results/expanded_hard_sweeps/n5_m12_N3_D2/g0040_cycle_chords_seed41_trainseed1,g0040_cycle_chords_seed41_trainseed1,cycle_chords_n5_m12_seed41,500,5,edge_projection_permutation,2,1011,92.40000247955322,25.600001215934753,-66.80000126361847,3.276181936264038,-4.012287139892578,-7.288469076156616,0.8295685887057092,0.4857381133100975,-0.3438304753956117,0.629637368667495,0.08602743146191505,-0.5436099372055799,4.795750141143799,-0.15514326095581055,0.7615512013435364,-0.02802175283432007,-0.17798161546484823,0.3422805889458028,-0.16383165956551057,0.18340117000582226
/home/aadarwal/repos/topology/ICL/results/expanded_hard_sweeps/n5_m12_N3_D2/g0040_cycle_chords_seed41_trainseed1,g0040_cycle_chords_seed41_trainseed1,cycle_chords_n5_m12_seed41,500,5,edge_projection_permutation,3,1012,92.40000247955322,35.40000021457672,-57.0000022649765,3.276181936264038,-3.3935999870300293,-6.669781923294067,0.8295685887057092,0.4646636000690008,-0.36490498863670834,0.629637368667495,0.09944439396866847,-0.5301929746988265,4.439002990722656,-0.5118904113769531,0.6645788550376892,-0.12499409914016724,-0.32194344312536627,0.1983187612852848,-0.2859626377391137,0.061270191832219156
/home/aadarwal/repos/topology/ICL/results/expanded_hard_sweeps/n5_m12_N3_D2/g0040_cycle_chords_seed41_trainseed1,g0040_cycle_chords_seed41_trainseed1,cycle_chords_n5_m12_seed41,500,5,edge_projection_permutation,4,1013,92.40000247955322,19.40000057220459,-73.00000190734863,3.276181936264038,-4.68880558013916,-7.964987516403198,0.8295685887057092,0.40825632740820944,-0.4213122612974997,0.629637368667495,0.14189391168255158,-0.48774345698494337,5.315339088439941,0.36444568634033203,0.6802995800971985,-0.10927337408065796,-0.24986122731993718,0.27040097709071387,-0.21725064569392782,0.129982183877405
