idx,selected,topology_id,topology_name,family,seed,n_nodes,n_edges,p,edge_json,d_rel,comparison_branch_common_d_rel_min,comparison_branch_common_d_rel_mean,comparison_branch_common_d_rel_max,comparison_branch_common_d_rel_gini,comparison_branch_d_rel_min,comparison_branch_d_rel_mean,comparison_branch_d_rel_max,comparison_branch_d_rel_gini,rank_D,effective_rank_D,condition_number_D,condition_number_D_log,root_tree_count_gini,edge_participation_gini,bottleneck_edge_fraction_095,mean_shortest_path,in_degree_cv,out_degree_cv,n_trees_total_enum,n_trees_total_enum_log
14,1,degrewire0014_baseg0354_degree_balanced_seed9_seed16,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed16,degree_rewire_exact_degree,16,5,12,8,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/topologies/degrewire0014_seed16.json,88,22,22.0,22,0.0,22,22.0,22,0.0,11,8.885500678468047,3.0742822611601253,0.4877437391678449,0.0,0.13750000000000018,0.0,1.4,0.2041241452319315,0.2041241452319315,80,1.9030899869919435
15,1,degrewire0015_baseg0354_degree_balanced_seed9_seed17,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed17,degree_rewire_exact_degree,17,5,12,8,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/topologies/degrewire0015_seed17.json,88,22,22.0,22,0.0,22,22.0,22,0.0,11,8.814573931925766,3.0684933323307892,0.4869251839226746,0.0,0.14500000000000002,0.0,1.4,0.2041241452319315,0.2041241452319315,75,1.8750612633917
16,1,degrewire0016_baseg0354_degree_balanced_seed9_seed18,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed18,degree_rewire_exact_degree,18,5,12,8,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/topologies/degrewire0016_seed18.json,88,22,22.0,22,0.0,22,22.0,22,0.0,11,8.926156311337124,2.870924702501555,0.45802180213882215,0.0,0.1372549019607845,0.0,1.4,0.2041241452319315,0.2041241452319315,85,1.9294189257142929
17,1,degrewire0017_baseg0354_degree_balanced_seed9_seed21,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed21,degree_rewire_exact_degree,21,5,12,8,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/topologies/degrewire0017_seed21.json,88,22,22.0,22,0.0,22,22.0,22,0.0,11,8.926156311337124,2.8709247025015556,0.45802180213882226,0.0,0.1372549019607845,0.0,1.4,0.2041241452319315,0.2041241452319315,85,1.9294189257142929
18,1,degrewire0018_baseg0354_degree_balanced_seed9_seed22,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed22,degree_rewire_exact_degree,22,5,12,8,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/topologies/degrewire0018_seed22.json,88,22,22.0,22,0.0,22,22.0,22,0.0,11,8.68664489077648,3.273841066389591,0.5150575920993191,0.0,0.13749999999999996,0.0,1.4,0.2041241452319315,0.2041241452319315,70,1.845098040014257
19,1,degrewire0019_baseg0354_degree_balanced_seed9_seed24,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed24,degree_rewire_exact_degree,24,5,12,8,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/topologies/degrewire0019_seed24.json,88,22,22.0,22,0.0,22,22.0,22,0.0,11,8.885500678468043,3.0742822611601253,0.4877437391678449,0.0,0.13750000000000018,0.0,1.4,0.2041241452319315,0.2041241452319315,80,1.9030899869919435
20,1,degrewire0020_baseg0354_degree_balanced_seed9_seed25,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed25,degree_rewire_exact_degree,25,5,12,8,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/topologies/degrewire0020_seed25.json,88,22,22.0,22,0.0,22,22.0,22,0.0,11,8.814573931925766,3.0684933323307906,0.4869251839226748,0.0,0.14500000000000002,0.0,1.4,0.2041241452319315,0.2041241452319315,75,1.8750612633917
21,1,degrewire0021_baseg0354_degree_balanced_seed9_seed26,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed26,degree_rewire_exact_degree,26,5,12,8,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/topologies/degrewire0021_seed26.json,88,22,22.0,22,0.0,22,22.0,22,0.0,11,8.68664489077648,3.273841066389591,0.5150575920993191,0.0,0.13749999999999996,0.0,1.4,0.2041241452319315,0.2041241452319315,70,1.845098040014257
22,1,degrewire0022_baseg0354_degree_balanced_seed9_seed27,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed27,degree_rewire_exact_degree,27,5,12,8,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/topologies/degrewire0022_seed27.json,88,22,22.0,22,0.0,22,22.0,22,0.0,11,8.643103571484449,3.774924366540239,0.5769082546345372,0.0,0.16153846153846163,0.0,1.4,0.2041241452319315,0.2041241452319315,65,1.8129133566428555
23,1,degrewire0023_baseg0354_degree_balanced_seed9_seed30,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed30,degree_rewire_exact_degree,30,5,12,8,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/topologies/degrewire0023_seed30.json,88,22,22.0,22,0.0,22,22.0,22,0.0,11,8.926156311337124,2.8709247025015547,0.4580218021388221,0.0,0.1372549019607845,0.0,1.4,0.2041241452319315,0.2041241452319315,85,1.9294189257142929
24,1,degrewire0024_baseg0354_degree_balanced_seed9_seed31,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed31,degree_rewire_exact_degree,31,5,12,8,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/topologies/degrewire0024_seed31.json,88,22,22.0,22,0.0,22,22.0,22,0.0,11,8.926156311337124,2.8709247025015556,0.45802180213882226,0.0,0.1372549019607845,0.0,1.4,0.2041241452319315,0.2041241452319315,85,1.9294189257142929
25,1,degrewire0025_baseg0354_degree_balanced_seed9_seed32,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed32,degree_rewire_exact_degree,32,5,12,8,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/topologies/degrewire0025_seed32.json,88,22,22.0,22,0.0,22,22.0,22,0.0,11,8.814573931925766,3.068493332330789,0.4869251839226746,0.0,0.14500000000000002,0.0,1.4,0.2041241452319315,0.2041241452319315,75,1.8750612633917
26,1,degrewire0026_baseg0354_degree_balanced_seed9_seed33,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed33,degree_rewire_exact_degree,33,5,12,8,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/topologies/degrewire0026_seed33.json,88,22,22.0,22,0.0,22,22.0,22,0.0,11,8.902336600579169,2.926681858905407,0.46637551559019685,0.0,0.13750000000000018,0.0,1.4,0.2041241452319315,0.2041241452319315,80,1.9030899869919435
27,1,degrewire0027_baseg0354_degree_balanced_seed9_seed34,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed34,degree_rewire_exact_degree,34,5,12,8,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/topologies/degrewire0027_seed34.json,88,22,22.0,22,0.0,22,22.0,22,0.0,11,8.643103571484446,3.77492436654024,0.5769082546345374,0.0,0.16153846153846163,0.0,1.4,0.2041241452319315,0.2041241452319315,65,1.8129133566428555
28,1,degrewire0028_baseg0354_degree_balanced_seed9_seed40,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed40,degree_rewire_exact_degree,40,5,12,8,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/topologies/degrewire0028_seed40.json,88,22,22.0,22,0.0,22,22.0,22,0.0,11,8.902336600579165,2.9266818589054067,0.4663755155901968,0.0,0.13750000000000018,0.0,1.4,0.2041241452319315,0.2041241452319315,80,1.9030899869919435
29,1,degrewire0029_baseg0354_degree_balanced_seed9_seed42,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed42,degree_rewire_exact_degree,42,5,12,8,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/topologies/degrewire0029_seed42.json,88,22,22.0,22,0.0,22,22.0,22,0.0,11,8.814573931925766,3.0684933323307892,0.4869251839226746,0.0,0.14500000000000002,0.0,1.4,0.2041241452319315,0.2041241452319315,75,1.8750612633917
30,1,degrewire0030_baseg0354_degree_balanced_seed9_seed46,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed46,degree_rewire_exact_degree,46,5,12,8,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/topologies/degrewire0030_seed46.json,88,22,22.0,22,0.0,22,22.0,22,0.0,11,8.814573931925766,3.06849333233079,0.4869251839226747,0.0,0.14500000000000002,0.0,1.4,0.2041241452319315,0.2041241452319315,75,1.8750612633917
31,1,degrewire0031_baseg0354_degree_balanced_seed9_seed47,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed47,degree_rewire_exact_degree,47,5,12,8,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/topologies/degrewire0031_seed47.json,88,22,22.0,22,0.0,22,22.0,22,0.0,11,8.68664489077648,3.273841066389593,0.5150575920993193,0.0,0.13749999999999996,0.0,1.4,0.2041241452319315,0.2041241452319315,70,1.845098040014257
