idx,selected,topology_id,topology_name,family,control_kind,seed,source_topology_id,source_topology_name,source_edge_json,source_n_edges,source_d_rel,source_effective_rank_D,source_root_tree_count_gini,source_edge_participation_gini,match_score,n_nodes,n_edges,p,edge_json,d_rel,comparison_branch_common_d_rel_min,comparison_branch_common_d_rel_mean,comparison_branch_common_d_rel_max,comparison_branch_common_d_rel_gini,comparison_branch_d_rel_min,comparison_branch_d_rel_mean,comparison_branch_d_rel_max,comparison_branch_d_rel_gini,rank_D,effective_rank_D,condition_number_D,root_tree_count_gini,edge_participation_gini,bottleneck_edge_fraction_095,mean_shortest_path,in_degree_cv,out_degree_cv,n_trees_total_enum
681,1,ctrl0681_random_sc_for_ess0029_input_ablation_loss_m11,matched_control_random_sc_for_ess0029_input_ablation_loss_m11_seed501985,matched_motif_control,random_sc,501985,ess0029_input_ablation_loss_m11,essential_input_ablation_loss_n6_m11_0029,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_cycle_chords_seed3_c200/essential_input50/topologies/ess0029_input_ablation_loss_m11.json,11.0,200.0,7.083013290210433,0.3939393939393938,0.1966942148760331,0.0077170107095104745,6,11,20,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_cycle_chords_seed3_c200/essential_input50_matched_controls/topologies/ctrl0681_random_sc_for_ess0029_input_ablation_loss_m11.json,200,40,40.0,40,0.0,40,40.0,40,0.0,10,7.168627005042335,4.772902722456805,0.3666666666666667,0.20363636363636384,0.0,1.9,0.3748277841470601,0.3748277841470601,45
708,1,ctrl0708_degree_rewire_for_ess0029_input_ablation_loss_m11,matched_control_degree_rewire_for_ess0029_input_ablation_loss_m11_seed501894,matched_motif_control,degree_rewire,501894,ess0029_input_ablation_loss_m11,essential_input_ablation_loss_n6_m11_0029,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_cycle_chords_seed3_c200/essential_input50/topologies/ess0029_input_ablation_loss_m11.json,11.0,200.0,7.083013290210433,0.3939393939393938,0.1966942148760331,5.93190166573808e-05,6,11,20,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_cycle_chords_seed3_c200/essential_input50_matched_controls/topologies/ctrl0708_degree_rewire_for_ess0029_input_ablation_loss_m11.json,200,40,40.0,40,0.0,40,40.0,40,0.0,10,7.080492345910354,5.164619649255171,0.3939393939393938,0.1966942148760331,0.0,1.9666666666666666,0.5821022034029862,0.3748277841470601,44
752,1,ctrl0752_random_sc_for_ess0043_input_ablation_loss_m15,matched_control_random_sc_for_ess0043_input_ablation_loss_m15_seed601322,matched_motif_control,random_sc,601322,ess0043_input_ablation_loss_m15,essential_input_ablation_loss_n6_m15_0043,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_cycle_chords_seed3_c200/essential_input50/topologies/ess0043_input_ablation_loss_m15.json,15.0,280.0,10.682165512476754,0.3745704467353952,0.1929896907216495,0.007872567006734622,6,15,20,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_cycle_chords_seed3_c200/essential_input50_matched_controls/topologies/ctrl0752_random_sc_for_ess0043_input_ablation_loss_m15.json,280,56,56.0,56,0.0,56,56.0,56,0.0,14,10.73305396534351,5.280159255037325,0.38888888888888884,0.16483660130718958,0.0,1.6666666666666667,0.38297084310253526,0.30550504633038933,204
826,1,ctrl0826_degree_rewire_for_ess0043_input_ablation_loss_m15,matched_control_degree_rewire_for_ess0043_input_ablation_loss_m15_seed601911,matched_motif_control,degree_rewire,601911,ess0043_input_ablation_loss_m15,essential_input_ablation_loss_n6_m15_0043,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_cycle_chords_seed3_c200/essential_input50/topologies/ess0043_input_ablation_loss_m15.json,15.0,280.0,10.682165512476754,0.3745704467353952,0.1929896907216495,0.0015633060679484687,6,15,20,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_cycle_chords_seed3_c200/essential_input50_matched_controls/topologies/ctrl0826_degree_rewire_for_ess0043_input_ablation_loss_m15.json,280,56,56.0,56,0.0,56,56.0,56,0.0,14,10.648089683673174,4.816740604067825,0.3784722222222221,0.19527777777777788,0.0,1.5666666666666667,0.38297084310253526,0.38297084310253526,192
929,1,ctrl0929_random_sc_for_ess0049_input_ablation_loss_m11,matched_control_random_sc_for_ess0049_input_ablation_loss_m11_seed702155,matched_motif_control,random_sc,702155,ess0049_input_ablation_loss_m11,essential_input_ablation_loss_n6_m11_0049,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_cycle_chords_seed3_c200/essential_input50/topologies/ess0049_input_ablation_loss_m11.json,11.0,200.0,7.018143720620658,0.4166666666666665,0.28409090909090917,0.013325592803179019,6,11,20,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_cycle_chords_seed3_c200/essential_input50_matched_controls/topologies/ctrl0929_random_sc_for_ess0049_input_ablation_loss_m11.json,200,40,40.0,40,0.0,40,40.0,40,0.0,10,7.049975100900534,4.978668002826603,0.350574712643678,0.2934169278996863,0.0,1.9,0.37482778414706014,0.5821022034029862,29
959,1,ctrl0959_degree_rewire_for_ess0049_input_ablation_loss_m11,matched_control_degree_rewire_for_ess0049_input_ablation_loss_m11_seed702132,matched_motif_control,degree_rewire,702132,ess0049_input_ablation_loss_m11,essential_input_ablation_loss_n6_m11_0049,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_cycle_chords_seed3_c200/essential_input50/topologies/ess0049_input_ablation_loss_m11.json,11.0,200.0,7.018143720620658,0.4166666666666665,0.28409090909090917,0.0006092178471513489,6,11,20,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_cycle_chords_seed3_c200/essential_input50_matched_controls/topologies/ctrl0959_degree_rewire_for_ess0049_input_ablation_loss_m11.json,200,40,40.0,40,0.0,40,40.0,40,0.0,10,7.00844057680758,5.200026146473377,0.4166666666666665,0.28181818181818197,0.0,2.066666666666667,0.48956043701222773,0.5821022034029862,32
1003,1,ctrl1003_random_sc_for_ess0051_input_ablation_loss_m10,matched_control_random_sc_for_ess0051_input_ablation_loss_m10_seed801560,matched_motif_control,random_sc,801560,ess0051_input_ablation_loss_m10,essential_input_ablation_loss_n6_m10_0051,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_cycle_chords_seed3_c200/essential_input50/topologies/ess0051_input_ablation_loss_m10.json,10.0,180.0,6.202172324015854,0.26388888888888884,0.22999999999999998,0.008222288097855936,6,10,20,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_cycle_chords_seed3_c200/essential_input50_matched_controls/topologies/ctrl1003_random_sc_for_ess0051_input_ablation_loss_m10.json,180,36,36.0,36,0.0,36,36.0,36,0.0,9,6.277289973594462,4.224671695601278,0.25,0.2533333333333334,0.0,2.0,0.447213595499958,0.282842712474619,24
1083,1,ctrl1083_degree_rewire_for_ess0051_input_ablation_loss_m10,matched_control_degree_rewire_for_ess0051_input_ablation_loss_m10_seed802336,matched_motif_control,degree_rewire,802336,ess0051_input_ablation_loss_m10,essential_input_ablation_loss_n6_m10_0051,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_cycle_chords_seed3_c200/essential_input50/topologies/ess0051_input_ablation_loss_m10.json,10.0,180.0,6.202172324015854,0.26388888888888884,0.22999999999999998,0.0066623332258935,6,10,20,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_cycle_chords_seed3_c200/essential_input50_matched_controls/topologies/ctrl1083_degree_rewire_for_ess0051_input_ablation_loss_m10.json,180,36,36.0,36,0.0,36,36.0,36,0.0,9,6.21360098151649,6.683927488190135,0.25757575757575757,0.2618181818181817,0.0,2.1333333333333333,0.282842712474619,0.4472135954999579,22
1114,1,ctrl1114_random_sc_for_ess0052_input_ablation_loss_m10,matched_control_random_sc_for_ess0052_input_ablation_loss_m10_seed901356,matched_motif_control,random_sc,901356,ess0052_input_ablation_loss_m10,essential_input_ablation_loss_n6_m10_0052,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_cycle_chords_seed3_c200/essential_input50/topologies/ess0052_input_ablation_loss_m10.json,10.0,180.0,6.202172324015854,0.26388888888888884,0.22999999999999998,0.009947664813921552,6,10,20,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_cycle_chords_seed3_c200/essential_input50_matched_controls/topologies/ctrl1114_random_sc_for_ess0052_input_ablation_loss_m10.json,180,36,36.0,36,0.0,36,36.0,36,0.0,9,6.2277899832888055,5.964618442816144,0.3194444444444444,0.22999999999999998,0.0,2.1,0.282842712474619,0.447213595499958,24
1190,1,ctrl1190_degree_rewire_for_ess0052_input_ablation_loss_m10,matched_control_degree_rewire_for_ess0052_input_ablation_loss_m10_seed902013,matched_motif_control,degree_rewire,902013,ess0052_input_ablation_loss_m10,essential_input_ablation_loss_n6_m10_0052,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_cycle_chords_seed3_c200/essential_input50/topologies/ess0052_input_ablation_loss_m10.json,10.0,180.0,6.202172324015854,0.26388888888888884,0.22999999999999998,0.008672218860883821,6,10,20,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_cycle_chords_seed3_c200/essential_input50_matched_controls/topologies/ctrl1190_degree_rewire_for_ess0052_input_ablation_loss_m10.json,180,36,36.0,36,0.0,36,36.0,36,0.0,9,6.1764678904696995,5.147770917867638,0.25,0.264,0.0,2.1666666666666665,0.282842712474619,0.4472135954999579,20
