idx,selected,topology_id,topology_name,family,control_kind,seed,source_topology_id,source_topology_name,source_edge_json,source_n_edges,source_d_rel,source_effective_rank_D,source_root_tree_count_gini,source_edge_participation_gini,match_score,n_nodes,n_edges,p,edge_json,d_rel,comparison_branch_common_d_rel_min,comparison_branch_common_d_rel_mean,comparison_branch_common_d_rel_max,comparison_branch_common_d_rel_gini,comparison_branch_d_rel_min,comparison_branch_d_rel_mean,comparison_branch_d_rel_max,comparison_branch_d_rel_gini,rank_D,effective_rank_D,condition_number_D,root_tree_count_gini,edge_participation_gini,bottleneck_edge_fraction_095,mean_shortest_path,in_degree_cv,out_degree_cv,n_trees_total_enum
589,1,ctrl0589_random_sc_for_ess0019_input_ablation_loss_m13,matched_control_random_sc_for_ess0019_input_ablation_loss_m13_seed501272,matched_motif_control,random_sc,501272,ess0019_input_ablation_loss_m13,essential_input_ablation_loss_n6_m13_0019,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/essential_input50/topologies/ess0019_input_ablation_loss_m13.json,13.0,240.0,8.543362338063629,0.31481481481481466,0.170940170940171,0.008869315494714333,6,13,20,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/essential_input50_matched_controls/topologies/ctrl0589_random_sc_for_ess0019_input_ablation_loss_m13.json,240,48,48.0,48,0.0,48,48.0,48,0.0,12,8.790938802941247,4.885986085759236,0.32474226804123707,0.1852498017446471,0.0,1.7666666666666666,0.41424344670265417,0.31716197120135853,97
646,1,ctrl0646_degree_rewire_for_ess0019_input_ablation_loss_m13,matched_control_degree_rewire_for_ess0019_input_ablation_loss_m13_seed501572,matched_motif_control,degree_rewire,501572,ess0019_input_ablation_loss_m13,essential_input_ablation_loss_n6_m13_0019,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/essential_input50/topologies/ess0019_input_ablation_loss_m13.json,13.0,240.0,8.543362338063629,0.31481481481481466,0.170940170940171,0.008326626057497255,6,13,20,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/essential_input50_matched_controls/topologies/ctrl0646_degree_rewire_for_ess0019_input_ablation_loss_m13.json,240,48,48.0,48,0.0,48,48.0,48,0.0,12,8.710721560424934,4.783878735329653,0.3111111111111111,0.1976068376068374,0.0,1.7333333333333334,0.49254801826406536,0.31716197120135853,90
749,1,ctrl0749_random_sc_for_ess0020_input_ablation_loss_m10,matched_control_random_sc_for_ess0020_input_ablation_loss_m10_seed601867,matched_motif_control,random_sc,601867,ess0020_input_ablation_loss_m10,essential_input_ablation_loss_n6_m10_0020,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/essential_input50/topologies/ess0020_input_ablation_loss_m10.json,10.0,180.0,6.694312905541795,0.2999999999999998,0.21733333333333338,0.0038657000149039025,6,10,20,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/essential_input50_matched_controls/topologies/ctrl0749_random_sc_for_ess0020_input_ablation_loss_m10.json,180,36,36.0,36,0.0,36,36.0,36,0.0,9,6.679624243565827,4.019756808405339,0.2916666666666665,0.22999999999999998,0.0,2.1333333333333333,0.4472135954999579,0.447213595499958,32
790,1,ctrl0790_degree_rewire_for_ess0020_input_ablation_loss_m10,matched_control_degree_rewire_for_ess0020_input_ablation_loss_m10_seed601963,matched_motif_control,degree_rewire,601963,ess0020_input_ablation_loss_m10,essential_input_ablation_loss_n6_m10_0020,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/essential_input50/topologies/ess0020_input_ablation_loss_m10.json,10.0,180.0,6.694312905541795,0.2999999999999998,0.21733333333333338,0.003340395151957882,6,10,20,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/essential_input50_matched_controls/topologies/ctrl0790_degree_rewire_for_ess0020_input_ablation_loss_m10.json,180,36,36.0,36,0.0,36,36.0,36,0.0,9,6.709856703833394,4.219561368186001,0.28494623655913975,0.21999999999999997,0.0,1.9333333333333333,0.4472135954999579,0.4472135954999579,31
840,1,ctrl0840_random_sc_for_ess0023_input_ablation_loss_m10,matched_control_random_sc_for_ess0023_input_ablation_loss_m10_seed701323,matched_motif_control,random_sc,701323,ess0023_input_ablation_loss_m10,essential_input_ablation_loss_n6_m10_0023,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/essential_input50/topologies/ess0023_input_ablation_loss_m10.json,10.0,180.0,6.694312905541796,0.2999999999999998,0.21733333333333338,0.004454150423672774,6,10,20,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/essential_input50_matched_controls/topologies/ctrl0840_random_sc_for_ess0023_input_ablation_loss_m10.json,180,36,36.0,36,0.0,36,36.0,36,0.0,9,6.678302992923477,4.21515417829371,0.3229166666666665,0.21875,0.0,2.033333333333333,0.4472135954999579,0.4472135954999579,32
893,1,ctrl0893_degree_rewire_for_ess0023_input_ablation_loss_m10,matched_control_degree_rewire_for_ess0023_input_ablation_loss_m10_seed701555,matched_motif_control,degree_rewire,701555,ess0023_input_ablation_loss_m10,essential_input_ablation_loss_n6_m10_0023,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/essential_input50/topologies/ess0023_input_ablation_loss_m10.json,10.0,180.0,6.694312905541796,0.2999999999999998,0.21733333333333338,0.0033403951519578594,6,10,20,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/essential_input50_matched_controls/topologies/ctrl0893_degree_rewire_for_ess0023_input_ablation_loss_m10.json,180,36,36.0,36,0.0,36,36.0,36,0.0,9,6.709856703833394,4.219561368186001,0.28494623655913975,0.21999999999999997,0.0,1.9333333333333333,0.4472135954999579,0.4472135954999579,31
983,1,ctrl0983_random_sc_for_ess0024_input_ablation_loss_m10,matched_control_random_sc_for_ess0024_input_ablation_loss_m10_seed801697,matched_motif_control,random_sc,801697,ess0024_input_ablation_loss_m10,essential_input_ablation_loss_n6_m10_0024,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/essential_input50/topologies/ess0024_input_ablation_loss_m10.json,10.0,180.0,6.694312905541796,0.2999999999999998,0.21733333333333338,0.0036528440125787637,6,10,20,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/essential_input50_matched_controls/topologies/ctrl0983_random_sc_for_ess0024_input_ablation_loss_m10.json,180,36,36.0,36,0.0,36,36.0,36,0.0,9,6.671438009402295,4.026866793071651,0.2916666666666665,0.2274999999999998,0.0,2.1333333333333333,0.4472135954999579,0.4472135954999579,32
1057,1,ctrl1057_degree_rewire_for_ess0024_input_ablation_loss_m10,matched_control_degree_rewire_for_ess0024_input_ablation_loss_m10_seed802439,matched_motif_control,degree_rewire,802439,ess0024_input_ablation_loss_m10,essential_input_ablation_loss_n6_m10_0024,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/essential_input50/topologies/ess0024_input_ablation_loss_m10.json,10.0,180.0,6.694312905541796,0.2999999999999998,0.21733333333333338,2.2112760294509558e-17,6,10,20,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/essential_input50_matched_controls/topologies/ctrl1057_degree_rewire_for_ess0024_input_ablation_loss_m10.json,180,36,36.0,36,0.0,36,36.0,36,0.0,9,6.694312905541795,3.967212874950974,0.2999999999999998,0.21733333333333338,0.0,1.9333333333333333,0.4472135954999579,0.4472135954999579,30
1106,1,ctrl1106_random_sc_for_ess0036_input_ablation_loss_m10,matched_control_random_sc_for_ess0036_input_ablation_loss_m10_seed901782,matched_motif_control,random_sc,901782,ess0036_input_ablation_loss_m10,essential_input_ablation_loss_n6_m10_0036,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/essential_input50/topologies/ess0036_input_ablation_loss_m10.json,10.0,180.0,6.582604921159671,0.34999999999999987,0.1260000000000001,0.017352539766209922,6,10,20,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/essential_input50_matched_controls/topologies/ctrl1106_random_sc_for_ess0036_input_ablation_loss_m10.json,180,36,36.0,36,0.0,36,36.0,36,0.0,9,6.587982863191599,4.516110788079723,0.2807017543859649,0.15999999999999992,0.0,2.1,0.282842712474619,0.282842712474619,38
1127,1,ctrl1127_degree_rewire_for_ess0036_input_ablation_loss_m10,matched_control_degree_rewire_for_ess0036_input_ablation_loss_m10_seed901470,matched_motif_control,degree_rewire,901470,ess0036_input_ablation_loss_m10,essential_input_ablation_loss_n6_m10_0036,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/essential_input50/topologies/ess0036_input_ablation_loss_m10.json,10.0,180.0,6.582604921159671,0.34999999999999987,0.1260000000000001,0.0,6,10,20,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/essential_input50_matched_controls/topologies/ctrl1127_degree_rewire_for_ess0036_input_ablation_loss_m10.json,180,36,36.0,36,0.0,36,36.0,36,0.0,9,6.582604921159671,4.693738590844726,0.34999999999999987,0.1260000000000001,0.0,2.066666666666667,0.6633249580710799,0.282842712474619,40
