idx,selected,selection_arms,topology_id,topology_name,base_id,base_family,base_seed,rewire_seed,n_nodes,n_edges,p,edge_json,cluster_edge_json,d_rel,rank_D,effective_rank_D,condition_number_D,condition_number_D_log,root_tree_count_gini,edge_participation_gini,bottleneck_edge_fraction_095,mean_shortest_path,in_degree_sequence,out_degree_sequence,in_degree_cv,out_degree_cv,n_trees_total_enum,n_trees_total_enum_log,normal_fan_branch_root_nmi_mean,normal_fan_branch_tree_nmi_mean,normal_fan_active_tree_count_mean,normal_fan_branch_active_tree_count_min_mean,normal_fan_score,normal_fan_score_within_base_z,tree_count_within_base_z,cross_contrast_effective_rank_mean,cross_all_supported_effective_rank
127,1,arm_B_high_tree_count,mb0127_base01_degree_balanced_seed60_rw7026294,multibase_base01_degree_balanced_seed60_rewire_seed7026294,base01_degree_balanced_seed60,degree_balanced,60,7026294,5,12,8,topologies/mb0127_base01_degree_balanced_seed60_rw7026294.json,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0127_base01_degree_balanced_seed60_rw7026294.json,88,11,9.021500920659584,3.425424050172152,0.5347143426168073,0.1955555555555557,0.1087962962962965,0.0,1.4,3 3 2 2 2,2 2 3 3 2,0.2041241452319315,0.2041241452319315,90,1.954242509439325,0.020152734591462523,0.10990989246026507,61.875,39.875,2.3673222068015893,0.3161258174491443,1.406560739568408,9.204977095061963,9.204977095061963
143,1,arm_B_low_tree_count,mb0143_base01_degree_balanced_seed60_rw4718007,multibase_base01_degree_balanced_seed60_rewire_seed4718007,base01_degree_balanced_seed60,degree_balanced,60,4718007,5,12,8,topologies/mb0143_base01_degree_balanced_seed60_rw4718007.json,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0143_base01_degree_balanced_seed60_rw4718007.json,88,11,8.726496322445016,3.704695669278028,0.5687525376644033,0.17222222222222228,0.11689814814814836,0.0,1.4,3 3 2 2 2,2 2 3 3 2,0.2041241452319315,0.2041241452319315,72,1.8573324964312685,0.021034224946240986,0.11013610124268941,59.0,41.75,2.490992627926562,0.37641849935229554,-0.658538556178376,8.854682394291869,8.854682394291869
164,1,arm_A_low_normal_fan,mb0164_base02_random_sc_seed2_rw2626549,multibase_base02_random_sc_seed2_rewire_seed2626549,base02_random_sc_seed2,random_sc,2,2626549,5,12,8,topologies/mb0164_base02_random_sc_seed2_rw2626549.json,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0164_base02_random_sc_seed2_rw2626549.json,88,11,8.37144417124772,5.8619296700588555,0.7680406035789469,0.4484848484848485,0.1875,0.0,1.55,1 1 4 3 3,4 2 1 2 3,0.5000000000000001,0.4249182927993988,66,1.8195439355418688,0.012478517275399998,0.08260409019244937,47.5,33.875,-4.64696533079197,-3.613085852631446,1.1934162828796764,8.358803663697673,8.358803663697673
219,1,arm_A_high_normal_fan,mb0219_base02_random_sc_seed2_rw2997037,multibase_base02_random_sc_seed2_rewire_seed2997037,base02_random_sc_seed2,random_sc,2,2997037,5,12,8,topologies/mb0219_base02_random_sc_seed2_rw2997037.json,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0219_base02_random_sc_seed2_rw2997037.json,88,11,8.371444171247724,5.861929670058849,0.7680406035789464,0.4484848484848485,0.1875,0.0,1.55,1 1 4 3 3,4 2 1 2 3,0.5000000000000001,0.4249182927993988,66,1.8195439355418688,0.028540185683700366,0.11835119053939402,53.875,36.5,1.090372498897572,2.3371064403755537,1.1934162828796764,8.358803663697676,8.358803663697676
243,1,arm_B_low_tree_count,mb0243_base03_random_sc_seed92_rw8028881,multibase_base03_random_sc_seed92_rewire_seed8028881,base03_random_sc_seed92,random_sc,92,8028881,5,12,8,topologies/mb0243_base03_random_sc_seed92_rw8028881.json,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0243_base03_random_sc_seed92_rw8028881.json,88,11,8.448309198375274,4.919916399352158,0.6919577231721344,0.40000000000000013,0.16944444444444406,0.0,1.5,3 2 3 2 2,1 2 3 3 3,0.2041241452319315,0.33333333333333337,60,1.7781512503836436,0.021104100233942023,0.11296243066494888,50.5,34.375,-0.6502190404152624,0.167454851071348,-0.871885382845656,8.422704235899515,8.422704235899513
250,1,arm_B_high_tree_count,mb0250_base03_random_sc_seed92_rw5413294,multibase_base03_random_sc_seed92_rewire_seed5413294,base03_random_sc_seed92,random_sc,92,5413294,5,12,8,topologies/mb0250_base03_random_sc_seed92_rw5413294.json,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0250_base03_random_sc_seed92_rw5413294.json,88,11,8.971047283620495,3.7114833653366297,0.5695475184091942,0.2789473684210526,0.16502192982456143,0.0,1.45,3 2 3 2 2,1 2 3 3 3,0.2041241452319315,0.33333333333333337,76,1.8808135922807914,0.017871257589661772,0.08859179502721516,57.125,40.25,-0.6382110655748857,0.1734330230191896,1.2874949775478248,9.11364343546026,9.113643435460258
285,1,arm_A_low_normal_fan,mb0285_base03_random_sc_seed92_rw6124706,multibase_base03_random_sc_seed92_rewire_seed6124706,base03_random_sc_seed92,random_sc,92,6124706,5,12,8,topologies/mb0285_base03_random_sc_seed92_rw6124706.json,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0285_base03_random_sc_seed92_rw6124706.json,88,11,8.58372853448984,4.051767469373058,0.6076445132761227,0.3111111111111111,0.17592592592592604,0.0,1.45,3 2 3 2 2,1 2 3 3 3,0.2041241452319315,0.33333333333333337,63,1.7993405494535817,0.020208053065567434,0.09047719833443832,49.25,33.0,-3.7512877695939393,-1.3764126479484409,-0.42619365775362095,8.612885166798343,8.612885166798343
317,1,arm_A_high_normal_fan,mb0317_base03_random_sc_seed92_rw5450770,multibase_base03_random_sc_seed92_rewire_seed5450770,base03_random_sc_seed92,random_sc,92,5450770,5,12,8,topologies/mb0317_base03_random_sc_seed92_rw5450770.json,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0317_base03_random_sc_seed92_rw5450770.json,88,11,8.634931625584969,3.8437204280725084,0.584751791857877,0.29538461538461536,0.1839743589743592,0.0,1.45,3 2 3 2 2,1 2 3 3 3,0.2041241452319315,0.33333333333333337,65,1.8129133566428555,0.022315307702014155,0.11535028980113465,53.625,35.875,0.5355398958514027,0.757785102751785,-0.14070578811892742,8.69593343999965,8.69593343999965
331,1,arm_A_low_normal_fan,mb0331_base04_cycle_chords_seed41_rw5585230,multibase_base04_cycle_chords_seed41_rewire_seed5585230,base04_cycle_chords_seed41,cycle_chords,41,5585230,5,12,8,topologies/mb0331_base04_cycle_chords_seed41_rw5585230.json,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0331_base04_cycle_chords_seed41_rw5585230.json,88,11,8.376594942237352,9.086442698523939,0.9583938921575036,0.5055555555555555,0.10821759259259278,0.0,1.6,1 4 4 2 1,3 1 2 3 3,0.5651941652604391,0.33333333333333337,72,1.8573324964312685,0.021011109852400626,0.09298428537759171,55.625,36.5,-1.4684483833378281,-2.589591940988413,-0.9276125895432155,8.262537677266003,8.262537677266003
347,1,arm_A_low_normal_fan,mb0347_base04_cycle_chords_seed41_rw3434009,multibase_base04_cycle_chords_seed41_rewire_seed3434009,base04_cycle_chords_seed41,cycle_chords,41,3434009,5,12,8,topologies/mb0347_base04_cycle_chords_seed41_rw3434009.json,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0347_base04_cycle_chords_seed41_rw3434009.json,88,11,8.476975909374497,9.374335166586281,0.9719404770694849,0.5076923076923077,0.08012820512820507,0.0,1.6,1 4 4 2 1,3 1 2 3 3,0.5651941652604391,0.33333333333333337,78,1.8920946026904804,0.011719457139256265,0.09790659703773483,59.625,38.75,0.3532119162870548,-1.0172925232616055,1.0780362527123857,8.35060360430428,8.35060360430428
