idx,selected,selection_arms,topology_id,topology_name,base_id,base_family,base_seed,rewire_seed,n_nodes,n_edges,p,edge_json,cluster_edge_json,d_rel,rank_D,effective_rank_D,condition_number_D,condition_number_D_log,root_tree_count_gini,edge_participation_gini,bottleneck_edge_fraction_095,mean_shortest_path,in_degree_sequence,out_degree_sequence,in_degree_cv,out_degree_cv,n_trees_total_enum,n_trees_total_enum_log,normal_fan_branch_root_nmi_mean,normal_fan_branch_tree_nmi_mean,normal_fan_active_tree_count_mean,normal_fan_branch_active_tree_count_min_mean,normal_fan_score,normal_fan_score_within_base_z,tree_count_within_base_z,cross_contrast_effective_rank_mean,cross_all_supported_effective_rank
438,0,,mb0438_base05_redundant_paths_seed1_rw8285331,multibase_base05_redundant_paths_seed1_rewire_seed8285331,base05_redundant_paths_seed1,redundant_paths,1,8285331,5,12,8,topologies/mb0438_base05_redundant_paths_seed1_rw8285331.json,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0438_base05_redundant_paths_seed1_rw8285331.json,88,11,8.690995076896272,3.6609153360907256,0.5635896853158988,0.17142857142857149,0.10389610389610415,0.0,1.4,2 2 3 3 2,3 3 2 2 2,0.2041241452319315,0.2041241452319315,77,1.8864907251724818,0.016575592097562902,0.11883781253358587,60.625,38.625,2.8070351904564728,0.4849447687618485,-0.14544279414122444,8.836161336210624,8.836161336210624
439,0,,mb0439_base05_redundant_paths_seed1_rw9894488,multibase_base05_redundant_paths_seed1_rewire_seed9894488,base05_redundant_paths_seed1,redundant_paths,1,9894488,5,12,8,topologies/mb0439_base05_redundant_paths_seed1_rw9894488.json,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0439_base05_redundant_paths_seed1_rw9894488.json,88,11,8.82384772732537,3.7158467184667203,0.5700577907099034,0.1692307692307693,0.12553418803418803,0.0,1.4,2 2 3 3 2,3 3 2 2 2,0.2041241452319315,0.2041241452319315,78,1.8920946026904804,0.017198180320722987,0.10164996589934484,59.25,39.625,0.9665536012543826,-0.4268926493119017,-0.019688012627482473,8.966546296113718,8.966546296113718
440,0,,mb0440_base05_redundant_paths_seed1_rw9846371,multibase_base05_redundant_paths_seed1_rewire_seed9846371,base05_redundant_paths_seed1,redundant_paths,1,9846371,5,12,8,topologies/mb0440_base05_redundant_paths_seed1_rw9846371.json,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0440_base05_redundant_paths_seed1_rw9846371.json,88,11,8.923978353265884,3.583587908030028,0.5543180624972253,0.15000000000000013,0.12187499999999951,0.0,1.4,2 2 3 3 2,3 3 2 2 2,0.2041241452319315,0.2041241452319315,80,1.9030899869919435,0.01639754723652511,0.0977568164574109,60.125,41.75,1.284253918369735,-0.2694930651056477,0.22705580824460286,9.069864793201099,9.069864793201099
441,0,,mb0441_base05_redundant_paths_seed1_rw7984313,multibase_base05_redundant_paths_seed1_rewire_seed7984313,base05_redundant_paths_seed1,redundant_paths,1,7984313,5,12,8,topologies/mb0441_base05_redundant_paths_seed1_rw7984313.json,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0441_base05_redundant_paths_seed1_rw7984313.json,88,11,9.01655951398318,3.3122191658084184,0.5201190658399226,0.1333333333333333,0.1245210727969348,0.0,1.4,2 2 3 3 2,3 3 2 2 2,0.2041241452319315,0.2041241452319315,87,1.9395192526186185,0.01746559613464613,0.11621259728187591,63.25,41.5,3.754924672295986,0.9545615814540734,1.0445530367037976,9.192613675321597,9.1926136753216
442,0,,mb0442_base05_redundant_paths_seed1_rw4434350,multibase_base05_redundant_paths_seed1_rewire_seed4434350,base05_redundant_paths_seed1,redundant_paths,1,4434350,5,12,8,topologies/mb0442_base05_redundant_paths_seed1_rw4434350.json,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0442_base05_redundant_paths_seed1_rw4434350.json,88,11,9.021500920659584,3.4254240501721545,0.5347143426168076,0.1955555555555557,0.1087962962962965,0.0,1.4,2 2 3 3 2,3 3 2 2 2,0.2041241452319315,0.2041241452319315,90,1.954242509439325,0.01783720295362565,0.1130204866203212,67.0,41.875,4.088661826638139,1.1199063623614227,1.3749528248347755,9.204977095061963,9.204977095061963
443,0,,mb0443_base05_redundant_paths_seed1_rw8320484,multibase_base05_redundant_paths_seed1_rewire_seed8320484,base05_redundant_paths_seed1,redundant_paths,1,8320484,5,12,8,topologies/mb0443_base05_redundant_paths_seed1_rw8320484.json,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0443_base05_redundant_paths_seed1_rw8320484.json,88,11,8.734265302267127,3.8648182145149352,0.5871290712712305,0.20540540540540553,0.12049549549549576,0.0,1.4,2 2 3 3 2,3 3 2 2 2,0.2041241452319315,0.2041241452319315,74,1.8692317197309762,0.012446255770519759,0.10869266709936441,55.875,37.875,0.7216275993320187,-0.5482373530689422,-0.5327464872483865,8.87283012820861,8.87283012820861
444,1,arm_A_high_normal_fan,mb0444_base05_redundant_paths_seed1_rw3112337,multibase_base05_redundant_paths_seed1_rewire_seed3112337,base05_redundant_paths_seed1,redundant_paths,1,3112337,5,12,8,topologies/mb0444_base05_redundant_paths_seed1_rw3112337.json,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0444_base05_redundant_paths_seed1_rw3112337.json,88,11,8.923978353265884,3.5835879080300272,0.5543180624972252,0.15000000000000013,0.12187499999999951,0.0,1.4,2 2 3 3 2,3 3 2 2 2,0.2041241452319315,0.2041241452319315,80,1.9030899869919435,0.016469014004163653,0.11672093087206731,62.125,40.25,3.274699160944683,0.7166414669944894,0.22705580824460286,9.069864793201104,9.069864793201102
445,0,,mb0445_base05_redundant_paths_seed1_rw7781432,multibase_base05_redundant_paths_seed1_rewire_seed7781432,base05_redundant_paths_seed1,redundant_paths,1,7781432,5,12,8,topologies/mb0445_base05_redundant_paths_seed1_rw7781432.json,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0445_base05_redundant_paths_seed1_rw7781432.json,88,11,8.787987373918762,3.6326914162980817,0.5602285077193407,0.18765432098765444,0.11676954732510314,0.0,1.4,2 2 3 3 2,3 3 2 2 2,0.2041241452319315,0.2041241452319315,81,1.9084850188786497,0.01723894880908409,0.10921170699724353,60.375,41.75,2.6009247528636825,0.38283062083704444,0.34812395329120016,8.957012897864276,8.957012897864276
446,0,,mb0446_base05_redundant_paths_seed1_rw7794512,multibase_base05_redundant_paths_seed1_rewire_seed7794512,base05_redundant_paths_seed1,redundant_paths,1,7794512,5,12,8,topologies/mb0446_base05_redundant_paths_seed1_rw7794512.json,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0446_base05_redundant_paths_seed1_rw7794512.json,88,11,8.787987373918765,3.6326914162980812,0.5602285077193407,0.18765432098765444,0.11676954732510314,0.0,1.4,2 2 3 3 2,3 3 2 2 2,0.2041241452319315,0.2041241452319315,81,1.9084850188786497,0.013239901769603574,0.10694222995792582,59.875,40.375,1.871384367561494,0.021391405570092305,0.34812395329120016,8.957012897864276,8.957012897864276
447,0,,mb0447_base05_redundant_paths_seed1_rw5398915,multibase_base05_redundant_paths_seed1_rewire_seed5398915,base05_redundant_paths_seed1,redundant_paths,1,5398915,5,12,8,topologies/mb0447_base05_redundant_paths_seed1_rw5398915.json,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0447_base05_redundant_paths_seed1_rw5398915.json,88,11,8.881779689077772,3.5951021750373746,0.555711237813295,0.1523809523809525,0.12053571428571441,0.0,1.4,2 2 3 3 2,3 3 2 2 2,0.2041241452319315,0.2041241452319315,84,1.9242792860618816,0.014463674210479172,0.10738098612654294,63.375,42.375,3.042850196414897,0.6017755740454785,0.7025579344797078,9.068374276555069,9.068374276555069
