topology_index,topology_id,topology_name,base_id,selection_arms,train_seed,output,results_path,completed,command
19,mb0347_base04_cycle_chords_seed41_rw3434009,multibase_base04_cycle_chords_seed41_rewire_seed3434009,base04_cycle_chords_seed41,arm_A_low_normal_fan,2,/home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0347_base04_cycle_chords_seed41_rw3434009_trainseed2,/home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0347_base04_cycle_chords_seed41_rw3434009_trainseed2/results.pkl,False,python3 -u run_topology_icl.py --output /home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0347_base04_cycle_chords_seed41_rw3434009_trainseed2 --edge_json /home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0347_base04_cycle_chords_seed41_rw3434009.json --seed 2 --input_mask_seed 2 --no_progress --K 128 --L 128 --D 2 --N 3 --B 1 --epsilon 0.001 --epochs 100 --lr 0.0025 --batch_size 50 --train_samples 5000 --val_samples 1000 --eval_frequency 10 --n_eval_samples 200 --test_samples 500 --method direct_solve --temperature 1.0 --device auto
19,mb0347_base04_cycle_chords_seed41_rw3434009,multibase_base04_cycle_chords_seed41_rewire_seed3434009,base04_cycle_chords_seed41,arm_A_low_normal_fan,3,/home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0347_base04_cycle_chords_seed41_rw3434009_trainseed3,/home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0347_base04_cycle_chords_seed41_rw3434009_trainseed3/results.pkl,False,python3 -u run_topology_icl.py --output /home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0347_base04_cycle_chords_seed41_rw3434009_trainseed3 --edge_json /home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0347_base04_cycle_chords_seed41_rw3434009.json --seed 3 --input_mask_seed 3 --no_progress --K 128 --L 128 --D 2 --N 3 --B 1 --epsilon 0.001 --epochs 100 --lr 0.0025 --batch_size 50 --train_samples 5000 --val_samples 1000 --eval_frequency 10 --n_eval_samples 200 --test_samples 500 --method direct_solve --temperature 1.0 --device auto
19,mb0347_base04_cycle_chords_seed41_rw3434009,multibase_base04_cycle_chords_seed41_rewire_seed3434009,base04_cycle_chords_seed41,arm_A_low_normal_fan,4,/home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0347_base04_cycle_chords_seed41_rw3434009_trainseed4,/home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0347_base04_cycle_chords_seed41_rw3434009_trainseed4/results.pkl,False,python3 -u run_topology_icl.py --output /home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0347_base04_cycle_chords_seed41_rw3434009_trainseed4 --edge_json /home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0347_base04_cycle_chords_seed41_rw3434009.json --seed 4 --input_mask_seed 4 --no_progress --K 128 --L 128 --D 2 --N 3 --B 1 --epsilon 0.001 --epochs 100 --lr 0.0025 --batch_size 50 --train_samples 5000 --val_samples 1000 --eval_frequency 10 --n_eval_samples 200 --test_samples 500 --method direct_solve --temperature 1.0 --device auto
19,mb0347_base04_cycle_chords_seed41_rw3434009,multibase_base04_cycle_chords_seed41_rewire_seed3434009,base04_cycle_chords_seed41,arm_A_low_normal_fan,5,/home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0347_base04_cycle_chords_seed41_rw3434009_trainseed5,/home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0347_base04_cycle_chords_seed41_rw3434009_trainseed5/results.pkl,False,python3 -u run_topology_icl.py --output /home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0347_base04_cycle_chords_seed41_rw3434009_trainseed5 --edge_json /home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0347_base04_cycle_chords_seed41_rw3434009.json --seed 5 --input_mask_seed 5 --no_progress --K 128 --L 128 --D 2 --N 3 --B 1 --epsilon 0.001 --epochs 100 --lr 0.0025 --batch_size 50 --train_samples 5000 --val_samples 1000 --eval_frequency 10 --n_eval_samples 200 --test_samples 500 --method direct_solve --temperature 1.0 --device auto
20,mb0354_base04_cycle_chords_seed41_rw7178112,multibase_base04_cycle_chords_seed41_rewire_seed7178112,base04_cycle_chords_seed41,arm_A_high_normal_fan,1,/home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0354_base04_cycle_chords_seed41_rw7178112_trainseed1,/home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0354_base04_cycle_chords_seed41_rw7178112_trainseed1/results.pkl,False,python3 -u run_topology_icl.py --output /home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0354_base04_cycle_chords_seed41_rw7178112_trainseed1 --edge_json /home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0354_base04_cycle_chords_seed41_rw7178112.json --seed 1 --input_mask_seed 1 --no_progress --K 128 --L 128 --D 2 --N 3 --B 1 --epsilon 0.001 --epochs 100 --lr 0.0025 --batch_size 50 --train_samples 5000 --val_samples 1000 --eval_frequency 10 --n_eval_samples 200 --test_samples 500 --method direct_solve --temperature 1.0 --device auto
20,mb0354_base04_cycle_chords_seed41_rw7178112,multibase_base04_cycle_chords_seed41_rewire_seed7178112,base04_cycle_chords_seed41,arm_A_high_normal_fan,2,/home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0354_base04_cycle_chords_seed41_rw7178112_trainseed2,/home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0354_base04_cycle_chords_seed41_rw7178112_trainseed2/results.pkl,False,python3 -u run_topology_icl.py --output /home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0354_base04_cycle_chords_seed41_rw7178112_trainseed2 --edge_json /home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0354_base04_cycle_chords_seed41_rw7178112.json --seed 2 --input_mask_seed 2 --no_progress --K 128 --L 128 --D 2 --N 3 --B 1 --epsilon 0.001 --epochs 100 --lr 0.0025 --batch_size 50 --train_samples 5000 --val_samples 1000 --eval_frequency 10 --n_eval_samples 200 --test_samples 500 --method direct_solve --temperature 1.0 --device auto
20,mb0354_base04_cycle_chords_seed41_rw7178112,multibase_base04_cycle_chords_seed41_rewire_seed7178112,base04_cycle_chords_seed41,arm_A_high_normal_fan,3,/home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0354_base04_cycle_chords_seed41_rw7178112_trainseed3,/home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0354_base04_cycle_chords_seed41_rw7178112_trainseed3/results.pkl,False,python3 -u run_topology_icl.py --output /home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0354_base04_cycle_chords_seed41_rw7178112_trainseed3 --edge_json /home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0354_base04_cycle_chords_seed41_rw7178112.json --seed 3 --input_mask_seed 3 --no_progress --K 128 --L 128 --D 2 --N 3 --B 1 --epsilon 0.001 --epochs 100 --lr 0.0025 --batch_size 50 --train_samples 5000 --val_samples 1000 --eval_frequency 10 --n_eval_samples 200 --test_samples 500 --method direct_solve --temperature 1.0 --device auto
20,mb0354_base04_cycle_chords_seed41_rw7178112,multibase_base04_cycle_chords_seed41_rewire_seed7178112,base04_cycle_chords_seed41,arm_A_high_normal_fan,4,/home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0354_base04_cycle_chords_seed41_rw7178112_trainseed4,/home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0354_base04_cycle_chords_seed41_rw7178112_trainseed4/results.pkl,False,python3 -u run_topology_icl.py --output /home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0354_base04_cycle_chords_seed41_rw7178112_trainseed4 --edge_json /home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0354_base04_cycle_chords_seed41_rw7178112.json --seed 4 --input_mask_seed 4 --no_progress --K 128 --L 128 --D 2 --N 3 --B 1 --epsilon 0.001 --epochs 100 --lr 0.0025 --batch_size 50 --train_samples 5000 --val_samples 1000 --eval_frequency 10 --n_eval_samples 200 --test_samples 500 --method direct_solve --temperature 1.0 --device auto
20,mb0354_base04_cycle_chords_seed41_rw7178112,multibase_base04_cycle_chords_seed41_rewire_seed7178112,base04_cycle_chords_seed41,arm_A_high_normal_fan,5,/home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0354_base04_cycle_chords_seed41_rw7178112_trainseed5,/home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0354_base04_cycle_chords_seed41_rw7178112_trainseed5/results.pkl,False,python3 -u run_topology_icl.py --output /home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0354_base04_cycle_chords_seed41_rw7178112_trainseed5 --edge_json /home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0354_base04_cycle_chords_seed41_rw7178112.json --seed 5 --input_mask_seed 5 --no_progress --K 128 --L 128 --D 2 --N 3 --B 1 --epsilon 0.001 --epochs 100 --lr 0.0025 --batch_size 50 --train_samples 5000 --val_samples 1000 --eval_frequency 10 --n_eval_samples 200 --test_samples 500 --method direct_solve --temperature 1.0 --device auto
21,mb0381_base04_cycle_chords_seed41_rw1669227,multibase_base04_cycle_chords_seed41_rewire_seed1669227,base04_cycle_chords_seed41,arm_A_high_normal_fan,1,/home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0381_base04_cycle_chords_seed41_rw1669227_trainseed1,/home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0381_base04_cycle_chords_seed41_rw1669227_trainseed1/results.pkl,False,python3 -u run_topology_icl.py --output /home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0381_base04_cycle_chords_seed41_rw1669227_trainseed1 --edge_json /home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0381_base04_cycle_chords_seed41_rw1669227.json --seed 1 --input_mask_seed 1 --no_progress --K 128 --L 128 --D 2 --N 3 --B 1 --epsilon 0.001 --epochs 100 --lr 0.0025 --batch_size 50 --train_samples 5000 --val_samples 1000 --eval_frequency 10 --n_eval_samples 200 --test_samples 500 --method direct_solve --temperature 1.0 --device auto
